index,time,open,high,low,close,Volume,volume,rsi,ema20,ma50,ma100,ma200,trendline,duration_from_date1,duration_from_date2,distance,breakthrough
6310,2024-11-29,228.43,229.5,227.28,227.45,,1254644.0,67.9777,221.0177,213.9588,210.6521,208.3387,229.5,1,0,0.9,False
6311,2024-12-02,227.58,227.63,223.98,224.36,,1397468.0,59.6755,221.3363,214.3778,210.7928,208.4791,229.39,2,1,2.24,False
6312,2024-12-03,224.5,225.25,223.74,224.25,,1944961.0,59.3983,221.6141,214.7348,210.9126,208.6069,229.28,3,2,2.24,False
6313,2024-12-04,223.65,225.07,223.45,224.53,,1848971.0,59.9089,221.892,215.089,211.013,208.7349,229.17,4,3,2.07,False
6314,2024-12-05,223.5,223.71,222.43,223.3,,1185037.0,56.5195,222.0257,215.4151,211.0524,208.8447,229.06,5,4,2.58,False
6315,2024-12-06,224.33,225.17,221.85,222.19,,1787864.0,53.5963,222.0414,215.7659,211.0566,208.9341,228.95,6,5,3.04,False
6316,2024-12-09,221.15,222.84,216.82,217.47,,1652621.0,43.3053,221.606,216.0189,211.0158,208.996,228.84,7,6,5.23,False
6317,2024-12-10,218.45,218.45,215.88,216.08,,2098397.0,40.8196,221.0797,216.2025,210.964,209.0538,228.73,8,7,5.85,False
6318,2024-12-11,216.6,216.94,213.5,214.52,,1676605.0,38.1714,220.455,216.3483,210.8903,209.1022,228.62,9,8,6.57,False
6319,2024-12-12,215.07,216.07,214.0,214.45,,1425915.0,38.0522,219.8831,216.5048,210.8626,209.1528,228.51,10,9,6.56,False
6320,2024-12-13,214.35,214.74,212.21,213.2,,1344390.0,35.8949,219.2466,216.6011,210.8359,209.2051,228.4,11,10,7.13,False
6321,2024-12-16,213.86,214.81,211.47,211.64,,1480851.0,33.3536,218.5222,216.6861,210.967,209.2489,228.29,12,11,7.87,False
6322,2024-12-17,211.3,211.93,208.07,209.0,,3161695.0,29.5417,217.6153,216.7717,211.1011,209.2746,228.18,13,12,9.18,False
6323,2024-12-18,209.0,209.35,205.14,205.43,,1945753.0,25.3266,216.4548,216.7207,211.1639,209.282,228.07,14,13,11.02,False
6324,2024-12-19,205.01,207.88,204.55,205.53,,2454308.0,25.6466,215.4143,216.601,211.2222,209.2848,227.97,15,14,10.92,False
6325,2024-12-20,206.39,207.3,204.45,205.83,,3685714.0,26.6621,214.5015,216.507,211.268,209.2923,227.86,16,15,10.7,False
6326,2024-12-23,205.2,205.74,202.0,203.8,,1710211.0,24.2488,213.4823,216.3611,211.2596,209.2873,227.75,17,16,11.75,False
6327,2024-12-24,203.27,205.45,202.43,205.38,,711469.0,29.5907,212.7107,216.2131,211.2502,209.2826,227.64,18,17,10.84,False
6328,2024-12-26,204.25,205.97,204.1,205.02,,736761.0,29.0873,211.9782,216.052,211.299,209.2736,227.53,19,18,10.98,False
6329,2024-12-27,203.99,205.79,203.01,204.02,,878694.0,27.679,211.2203,215.884,211.3219,209.2536,227.42,20,19,11.47,False
6330,2024-12-30,202.21,203.08,201.27,202.27,,1209165.0,25.3644,210.3679,215.6821,211.3103,209.2246,227.31,21,20,12.38,False
