index,time,open,high,low,close,Volume,volume,rsi,ema20,ma50,ma100,ma200,trendline,duration_from_date1,duration_from_date2,distance,breakthrough
6310,2024-11-29,64.5,64.75,63.89,63.93,,853416.0,70.6026,60.9306,58.6826,57.1726,55.2042,64.75,1,0,1.28,False
6311,2024-12-02,64.04,64.13,62.96,63.04,,1065468.0,63.9791,61.1313,58.8119,57.2881,55.2517,64.64,2,1,2.54,False
6312,2024-12-03,63.24,63.26,62.44,62.91,,1081031.0,63.0588,61.3006,58.9324,57.3908,55.2975,64.53,3,2,2.58,False
6313,2024-12-04,62.73,63.24,62.39,63.05,,795139.0,63.665,61.467,59.0712,57.4894,55.3461,64.42,4,3,2.17,False
6314,2024-12-05,63.08,63.66,62.76,63.0,,791521.0,63.2657,61.6128,59.2142,57.5834,55.3895,64.31,5,4,2.08,False
6315,2024-12-06,62.84,63.31,62.11,62.34,,1467240.0,58.0875,61.6825,59.3378,57.6574,55.4224,64.2,6,5,2.98,False
6316,2024-12-09,62.45,62.57,61.36,61.44,,1211743.0,51.7929,61.6597,59.4474,57.7183,55.4521,64.09,7,6,4.31,False
6317,2024-12-10,61.37,61.37,59.8,60.7,,1215690.0,47.2485,61.5683,59.5377,57.8178,55.4785,63.99,8,7,5.42,False
6318,2024-12-11,60.65,60.79,59.85,60.28,,2196388.0,44.874,61.446,59.6092,57.9104,55.5038,63.88,9,8,5.97,False
6319,2024-12-12,60.61,60.97,59.86,59.9,,1208355.0,42.7267,61.2986,59.6656,57.9952,55.5282,63.77,10,9,6.46,False
6320,2024-12-13,60.25,60.5,60.05,60.18,,1372499.0,44.7701,61.1917,59.7369,58.0821,55.5572,63.66,11,10,5.78,False
6321,2024-12-16,60.23,60.34,59.67,59.71,,1305909.0,42.0576,61.0505,59.7722,58.1625,55.5864,63.55,12,11,6.43,False
6322,2024-12-17,59.32,59.63,58.76,58.85,,1446142.0,37.5331,60.841,59.8305,58.2186,55.6083,63.44,13,12,7.8,False
6323,2024-12-18,58.77,59.32,57.85,57.87,,1754278.0,33.1559,60.558,59.8495,58.266,55.6238,63.34,14,13,9.45,False
6324,2024-12-19,57.97,58.58,57.77,58.03,,1598582.0,34.499,60.3173,59.8615,58.3002,55.6379,63.23,15,14,8.96,False
6325,2024-12-20,57.84,59.15,56.88,58.57,,4520933.0,38.957,60.1509,59.8821,58.343,55.6565,63.12,16,15,7.77,False
6326,2024-12-23,58.15,58.55,57.8,58.41,,2017879.0,38.129,59.9851,59.8901,58.3878,55.6737,63.02,17,16,7.89,False
6327,2024-12-24,58.31,58.76,58.24,58.71,,544242.0,40.6752,59.8636,59.8905,58.4315,55.6905,62.91,18,17,7.15,False
6328,2024-12-26,58.67,59.31,58.56,59.22,,808684.0,44.8317,59.8023,59.9079,58.4848,55.7077,62.8,19,18,6.05,False
6329,2024-12-27,58.77,59.42,58.66,58.97,,824466.0,43.2327,59.7231,59.9131,58.5319,55.7241,62.7,20,19,6.33,False
6330,2024-12-30,58.5,58.81,58.02,58.52,,794370.0,40.4368,59.6085,59.8744,58.5658,55.739,62.59,21,20,6.95,False
