index,time,open,high,low,close,Volume,volume,rsi,ema20,ma50,ma100,ma200,trendline,duration_from_date1,duration_from_date2,distance,breakthrough
3911,2018-05-10,185.01,187.54,182.29,186.64,,2749275.0,69.8948,176.4993,170.0809,163.4378,148.4342,187.54,1054,0,0.48,False
3912,2018-05-11,186.18,186.63,180.86,181.22,,1899767.0,59.0103,176.9486,170.6779,163.7169,148.7352,187.52,1055,1,3.48,False
3913,2018-05-14,181.02,181.98,176.85,177.49,,2624880.0,52.9218,177.0005,171.2072,163.967,149.0358,187.5,1056,2,5.64,False
3914,2018-05-15,177.47,178.09,174.48,176.84,,1883056.0,51.9032,176.9848,171.6862,164.2012,149.3304,187.48,1057,3,6.02,False
3915,2018-05-16,176.82,180.0,176.16,179.0,,1672909.0,54.9788,177.1771,172.1768,164.4311,149.6325,187.46,1058,4,4.73,False
3916,2018-05-17,179.23,180.72,175.96,176.65,,1721512.0,51.1552,177.1269,172.59,164.6415,149.9289,187.44,1059,5,6.11,False
3917,2018-05-18,176.46,178.58,174.78,175.77,,1319351.0,49.7559,176.9975,172.7875,164.8502,150.2304,187.42,1060,6,6.63,False
3918,2018-05-21,178.8,182.61,178.35,180.56,,2492886.0,56.6746,177.3364,172.8995,165.0987,150.554,187.4,1061,7,3.79,False
3919,2018-05-22,180.61,181.32,178.7,180.28,,1195167.0,56.1893,177.6165,172.9522,165.3297,150.8708,187.38,1062,8,3.94,False
3920,2018-05-23,179.17,181.08,178.48,180.96,,1247104.0,57.1509,177.9345,173.1366,165.5835,151.1786,187.36,1063,9,3.54,False
3921,2018-05-24,181.02,181.45,179.89,180.06,,814874.0,55.4278,178.1372,173.3068,165.8273,151.4803,187.34,1064,10,4.04,False
3922,2018-05-25,179.94,181.55,179.18,180.58,,1166512.0,56.2564,178.3703,173.469,166.116,151.7857,187.32,1065,11,3.73,False
3923,2018-05-29,178.8,180.81,177.66,179.82,,1048176.0,54.6543,178.5085,173.6428,166.4135,152.1049,187.3,1066,12,4.16,False
3924,2018-05-30,180.44,182.53,179.94,181.94,,1301758.0,58.2172,178.8354,173.9172,166.724,152.4365,187.28,1067,13,2.94,False
3925,2018-05-31,182.17,183.81,179.56,182.26,,2240511.0,58.7379,179.1614,174.1503,167.0277,152.7579,187.26,1068,14,2.74,False
3926,2018-06-01,179.46,180.46,174.27,178.99,,3732499.0,51.5906,179.1454,174.4158,167.3189,153.0252,187.24,1069,15,4.61,False
3927,2018-06-04,178.35,178.98,168.45,170.0,,5783503.0,37.906,178.2747,174.564,167.51,153.2473,187.22,1070,16,10.13,False
3928,2018-06-05,169.69,171.49,162.66,164.47,,7194503.0,32.2394,176.9599,174.5953,167.6588,153.4501,187.2,1071,17,13.82,False
3929,2018-06-06,165.61,167.57,162.36,166.92,,5006890.0,36.7409,176.0033,174.6548,167.8274,153.6639,187.18,1072,18,12.14,False
3930,2018-06-07,166.64,167.14,163.41,163.88,,2686067.0,33.7481,174.8491,174.6401,167.9376,153.8591,187.16,1073,19,14.21,False
3931,2018-06-08,164.25,167.27,163.88,165.62,,2434221.0,36.9222,173.9704,174.6914,168.0358,154.0607,187.14,1074,20,12.99,False
3932,2018-06-11,166.85,170.5,166.5,168.13,,3906566.0,41.2953,173.4145,174.676,168.1141,154.2812,187.12,1075,21,11.29,False
3933,2018-06-12,169.32,170.3,166.63,166.8,,2898335.0,39.7245,172.7849,174.6591,168.1618,154.4981,187.1,1076,22,12.17,False
3934,2018-06-13,167.07,167.26,163.7,164.04,,3365543.0,36.6097,171.9523,174.5999,168.1434,154.6987,187.08,1077,23,14.05,False
3935,2018-06-14,164.49,164.93,162.73,163.88,,2440721.0,36.4336,171.1839,174.551,167.9794,154.9019,187.06,1078,24,14.14,False
3936,2018-06-15,161.98,162.55,160.18,161.15,,3246004.0,33.438,170.2283,174.4166,167.7907,155.0853,187.04,1079,25,16.07,False
3937,2018-06-18,160.13,163.68,160.06,162.81,,2412479.0,36.8247,169.5214,174.3662,167.5666,155.273,187.02,1080,26,14.87,False
3938,2018-06-19,160.68,163.07,159.76,160.32,,2795596.0,34.0279,168.6453,174.2312,167.3174,155.435,187.0,1081,27,16.64,False
3939,2018-06-20,161.99,164.33,161.68,162.2,,2128183.0,37.8724,168.0316,174.0801,167.2746,155.586,186.98,1082,28,15.28,False
3940,2018-06-21,161.62,162.26,159.26,159.93,,1898801.0,35.2037,167.2602,173.9474,167.3643,155.7298,186.96,1083,29,16.9,False
3941,2018-06-22,160.45,160.85,157.86,158.2,,3024311.0,33.2787,166.3976,173.654,167.3637,155.861,186.94,1084,30,18.17,False
3942,2018-06-25,156.68,158.74,153.91,154.86,,2734122.0,29.8737,165.2983,173.3461,167.3832,155.9646,186.92,1085,31,20.7,False
3943,2018-06-26,154.94,156.52,153.84,155.47,,1885130.0,31.2623,164.3622,172.9599,167.3635,156.0773,186.9,1086,32,20.22,False
3944,2018-06-27,155.0,157.41,152.32,152.41,,2067867.0,28.2584,163.2239,172.4764,167.3496,156.1679,186.88,1087,33,22.62,False
3945,2018-06-28,151.74,153.43,150.65,152.5,,1401237.0,28.4834,162.2028,171.9529,167.3465,156.2589,186.85,1088,34,22.52,False
3946,2018-06-29,153.13,156.55,152.71,155.6,,3256386.0,35.7117,161.5739,171.5146,167.3953,156.3675,186.83,1089,35,20.07,False
3947,2018-07-02,148.1,148.76,141.19,143.33,,6755047.0,24.9476,159.836,170.815,167.1912,156.421,186.81,1090,36,30.34,False
3948,2018-07-03,143.76,144.54,141.34,141.49,,2227737.0,23.7949,158.0891,170.0651,167.043,156.4693,186.79,1091,37,32.02,False
3949,2018-07-05,141.61,144.04,140.42,143.98,,2626122.0,28.6096,156.745,169.425,166.9478,156.5273,186.77,1092,38,29.72,False
