index,time,open,high,low,close,Volume,volume,rsi,ema20,ma50,ma100,ma200,trendline,duration_from_date1,duration_from_date2,distance,breakthrough
6140,2024-03-28,35.31,35.57,35.14,35.22,,3438309.0,66.8536,34.2143,33.0428,32.2467,31.4741,35.57,480,0,0.99,False
6141,2024-04-01,35.28,35.41,34.86,34.88,,2203039.0,61.2298,34.2775,33.1074,32.2954,31.502,35.56,481,1,1.95,False
6142,2024-04-02,34.54,34.81,34.47,34.75,,3457415.0,59.2366,34.3226,33.1644,32.345,31.5294,35.56,482,2,2.33,False
6143,2024-04-03,34.59,34.61,34.14,34.27,,3117284.0,52.3228,34.3176,33.2003,32.3939,31.5531,35.55,483,3,3.74,False
6144,2024-04-04,34.6,34.62,33.75,33.98,,3143470.0,48.584,34.2851,33.2333,32.4418,31.5742,35.54,484,4,4.59,False
6145,2024-04-05,33.89,33.96,33.62,33.93,,2659764.0,47.9688,34.2509,33.2684,32.4939,31.5939,35.54,485,5,4.75,False
6146,2024-04-08,34.09,34.11,33.74,33.76,,2356779.0,45.8432,34.2042,33.2965,32.5405,31.6144,35.53,486,6,5.24,False
6147,2024-04-09,33.98,34.41,33.88,34.36,,2321102.0,53.7608,34.2189,33.3406,32.5961,31.6382,35.52,487,7,3.38,False
6148,2024-04-10,33.44,33.6,32.78,32.96,,3114172.0,39.2675,34.0986,33.359,32.6204,31.657,35.52,488,8,7.77,False
6149,2024-04-11,33.12,33.44,32.65,33.0,,3233006.0,39.8778,33.9944,33.3764,32.6443,31.6737,35.51,489,9,7.61,False
6150,2024-04-12,32.81,32.89,32.39,32.6,,3048733.0,36.6274,33.8619,33.392,32.6639,31.6839,35.5,490,10,8.9,False
6151,2024-04-15,32.78,32.84,31.89,32.06,,2807219.0,32.7688,33.6906,33.3836,32.6765,31.6849,35.5,491,11,10.73,False
6152,2024-04-16,31.82,31.83,31.35,31.36,,2658773.0,28.5314,33.4684,33.3718,32.6789,31.6818,35.49,492,12,13.17,False
6153,2024-04-17,31.52,31.65,30.91,30.92,,3395240.0,26.2469,33.2253,33.3614,32.6814,31.6756,35.48,493,13,14.75,False
6154,2024-04-18,31.04,31.27,30.68,30.75,,3362750.0,25.4189,32.9894,33.3392,32.6801,31.6684,35.48,494,14,15.38,False
6155,2024-04-19,30.74,30.97,30.55,30.87,,3955310.0,27.1656,32.7873,33.3183,32.6804,31.6632,35.47,495,15,14.9,False
6156,2024-04-22,30.93,31.04,30.57,30.87,,2670673.0,27.1656,32.6044,33.2945,32.6839,31.6608,35.46,496,16,14.87,False
6157,2024-04-23,30.92,31.49,30.84,31.1,,2619120.0,30.9183,32.4613,33.2702,32.6905,31.6559,35.46,497,17,14.02,False
6158,2024-04-24,30.87,31.2,30.7,30.94,,3019175.0,29.7491,32.316,33.2377,32.6938,31.6479,35.45,498,18,14.58,False
6159,2024-04-25,30.61,30.96,30.42,30.86,,2473896.0,29.1897,32.177,33.217,32.698,31.6388,35.44,499,19,14.84,False
6160,2024-04-26,31.38,31.4,30.22,30.45,,3616663.0,26.445,32.013,33.1846,32.6943,31.6276,35.44,500,20,16.39,False
6161,2024-04-29,30.44,30.7,30.19,30.58,,2837694.0,28.7332,31.8767,33.1445,32.6935,31.6166,35.43,501,21,15.86,False
6162,2024-04-30,30.3,30.45,29.57,29.59,,4876326.0,22.799,31.6591,33.0929,32.6855,31.601,35.42,502,22,19.7,False
6163,2024-05-01,29.71,30.26,29.45,29.62,,4225150.0,23.3056,31.465,33.0406,32.6784,31.5844,35.42,503,23,19.58,False
6164,2024-05-02,29.92,30.44,29.52,30.42,,4710526.0,35.596,31.365,33.0022,32.6826,31.5709,35.41,504,24,16.4,False
6165,2024-05-03,30.96,31.22,30.37,30.49,,4582781.0,36.6754,31.2821,32.955,32.6877,31.5589,35.4,505,25,16.1,False
6166,2024-05-06,30.71,30.91,30.35,30.48,,1962646.0,36.5928,31.2061,32.9136,32.6907,31.5466,35.4,506,26,16.14,False
6167,2024-05-07,30.68,30.82,30.24,30.26,,2935182.0,34.6603,31.1159,32.8795,32.6956,31.5329,35.39,507,27,16.95,False
6168,2024-05-08,30.15,30.48,30.06,30.14,,3093507.0,33.6615,31.023,32.8407,32.6863,31.5191,35.38,508,28,17.39,False
6169,2024-05-09,30.2,30.6,30.17,30.53,,2612199.0,39.8807,30.9764,32.7837,32.662,31.5068,35.38,509,29,15.89,False
6170,2024-05-10,30.55,30.67,30.3,30.38,,3393565.0,38.3327,30.9192,32.7208,32.642,31.4937,35.37,510,30,16.43,False
6171,2024-05-13,30.58,30.87,30.37,30.61,,2868567.0,41.9713,30.8899,32.6521,32.6223,31.4831,35.36,511,31,15.52,False
6172,2024-05-14,30.87,30.95,30.4,30.59,,3007479.0,41.7502,30.8616,32.5743,32.5937,31.4745,35.36,512,32,15.59,False
6173,2024-05-15,31.09,31.11,30.65,30.76,,4726172.0,44.4296,30.8518,32.5178,32.5702,31.4648,35.35,513,33,14.92,False
6174,2024-05-16,30.78,30.83,30.49,30.51,,4181802.0,41.4128,30.8196,32.4541,32.544,31.4544,35.34,514,34,15.83,False
6175,2024-05-17,30.57,30.62,30.2,30.57,,4469439.0,42.4232,30.796,32.3913,32.5161,31.448,35.34,515,35,15.6,False
6176,2024-05-20,30.5,30.51,30.09,30.32,,4510843.0,39.263,30.7505,32.3142,32.483,31.4407,35.33,516,36,16.52,False
6177,2024-05-21,30.26,30.56,29.93,30.51,,4380344.0,42.7932,30.7279,32.2365,32.4506,31.4355,35.32,517,37,15.77,False
6178,2024-05-22,30.39,30.53,29.95,30.11,,2133657.0,37.9266,30.6692,32.1626,32.4108,31.427,35.32,518,38,17.3,False
6179,2024-05-23,29.99,30.03,29.47,29.53,,2474535.0,32.2439,30.561,32.0753,32.3685,31.4146,35.31,519,39,19.57,False
6180,2024-05-24,29.7,29.75,29.44,29.62,,1497824.0,33.8716,30.4714,31.9956,32.3269,31.4024,35.3,520,40,19.18,False
6181,2024-05-28,29.65,29.72,29.08,29.19,,2714835.0,30.0686,30.3494,31.906,32.288,31.3893,35.3,521,41,20.93,False
6182,2024-05-29,29.01,29.11,28.75,28.8,,2945478.0,27.0907,30.2015,31.812,32.2498,31.3749,35.29,522,42,22.53,False
6183,2024-05-30,28.96,29.28,28.96,29.15,,2125629.0,33.4763,30.1014,31.7177,32.2143,31.3617,35.28,523,43,21.03,False
6184,2024-05-31,29.28,29.67,29.12,29.65,,6134175.0,41.3174,30.0585,31.618,32.1801,31.3529,35.28,524,44,18.99,False
6185,2024-06-03,29.62,29.69,29.25,29.33,,2974281.0,38.2506,29.9895,31.5077,32.1458,31.3441,35.27,525,45,20.25,False
6186,2024-06-04,29.23,29.53,29.08,29.1,,2485561.0,36.0871,29.9046,31.3911,32.1083,31.3352,35.26,526,46,21.17,False
6187,2024-06-05,29.12,29.2,28.85,29.08,,2472453.0,35.9048,29.8258,31.2765,32.0703,31.3256,35.26,527,47,21.25,False
6188,2024-06-06,28.97,29.48,28.82,29.38,,4555271.0,40.8881,29.7837,31.1688,32.0376,31.317,35.25,528,48,19.98,False
6189,2024-06-07,28.95,29.18,28.78,28.99,,3397895.0,36.9014,29.708,31.0437,32.0063,31.3051,35.24,529,49,21.56,False
6190,2024-06-10,28.75,29.0,28.28,29.0,,4424224.0,37.0666,29.6405,30.9193,31.981,31.2902,35.24,530,50,21.52,False
6191,2024-06-11,28.84,28.86,28.5,28.77,,3152855.0,34.8092,29.5578,30.7971,31.9523,31.2769,35.23,531,51,22.45,False
6192,2024-06-12,29.43,29.51,28.71,28.84,,3590812.0,36.085,29.4895,30.6789,31.9217,31.2645,35.22,532,52,22.12,False
6193,2024-06-13,28.96,28.98,28.52,28.65,,3726377.0,34.1324,29.4098,30.5666,31.8835,31.25,35.22,533,53,22.93,False
6194,2024-06-14,28.45,28.65,28.19,28.63,,3378078.0,33.9244,29.3359,30.4598,31.8465,31.2348,35.21,534,54,22.98,False
6195,2024-06-17,28.37,28.82,28.28,28.78,,3382742.0,37.0253,29.2831,30.3568,31.8126,31.2199,35.21,535,55,22.34,False
6196,2024-06-18,28.76,28.84,28.36,28.51,,3076626.0,33.8334,29.209,30.2517,31.7741,31.2044,35.2,536,56,23.47,False
6197,2024-06-20,28.4,28.47,28.21,28.28,,4479632.0,31.436,29.1204,30.1301,31.7354,31.1877,35.19,537,57,24.43,False
6198,2024-06-21,28.44,28.73,28.2,28.65,,7371339.0,39.1124,29.0759,30.0441,31.7015,31.1769,35.19,538,58,22.83,False
6199,2024-06-24,28.66,29.05,28.57,28.67,,2856190.0,39.4964,29.0375,29.9574,31.6669,31.164,35.18,539,59,22.71,False
