index,time,open,high,low,close,Volume,volume,rsi,ema20,ma50,ma100,ma200,trendline,duration_from_date1,duration_from_date2,distance,breakthrough
5517,2023-06-30,144.72,145.98,144.01,144.1,,1290481.0,69.9658,138.8872,135.0837,130.0079,122.7201,145.98,546,0,1.3,False
5518,2023-07-03,143.31,143.31,141.04,141.04,,662521.0,58.4048,139.062,135.1704,130.1268,122.8534,145.94,547,1,3.47,False
5519,2023-07-05,140.95,141.1,139.82,140.89,,1181562.0,57.9046,139.2059,135.2626,130.2459,122.9891,145.9,548,2,3.56,False
5520,2023-07-06,140.23,140.39,138.72,139.75,,886030.0,54.0496,139.2271,135.3276,130.3779,123.1341,145.86,549,3,4.37,False
5521,2023-07-07,139.15,139.89,138.4,139.41,,1165529.0,52.9371,139.2143,135.3677,130.5103,123.274,145.81,550,4,4.59,False
5522,2023-07-10,139.8,141.18,139.71,141.04,,1421384.0,57.5079,139.3578,135.44,130.6576,123.43,145.77,551,5,3.35,False
5523,2023-07-11,140.6,141.8,140.07,141.71,,819889.0,59.239,139.5508,135.5399,130.8246,123.597,145.73,552,6,2.84,False
5524,2023-07-12,142.42,142.42,140.43,141.18,,969516.0,57.252,139.6754,135.6276,130.9885,123.7721,145.69,553,7,3.19,False
5525,2023-07-13,141.12,141.81,140.41,141.64,,966457.0,58.5515,139.8315,135.7167,131.1706,123.9583,145.65,554,8,2.83,False
5526,2023-07-14,141.79,142.65,140.68,140.9,,1191169.0,55.6222,139.9031,135.7088,131.337,124.146,145.61,555,9,3.34,False
5527,2023-07-17,140.65,141.39,138.87,139.21,,1297010.0,49.4639,139.8071,135.7339,131.5058,124.3269,145.57,556,10,4.57,False
5528,2023-07-18,138.68,139.79,137.87,139.41,,1097926.0,50.159,139.7391,135.8219,131.6804,124.4956,145.53,557,11,4.39,False
5529,2023-07-19,139.42,140.26,138.15,139.34,,1013688.0,49.9003,139.6709,135.8834,131.8587,124.6647,145.48,558,12,4.41,False
5530,2023-07-20,138.68,141.62,138.24,141.26,,1464965.0,56.5833,139.7917,135.9923,132.0608,124.856,145.44,559,13,2.96,False
5531,2023-07-21,141.07,141.76,140.38,140.77,,1123235.0,54.5631,139.8539,136.1189,132.2521,125.0313,145.4,560,14,3.29,False
5532,2023-07-24,140.98,141.62,139.0,139.42,,1466758.0,49.3971,139.7824,136.1915,132.4243,125.1783,145.36,561,15,4.26,False
5533,2023-07-25,139.02,139.32,137.88,138.85,,842766.0,47.3727,139.664,136.2673,132.6085,125.3187,145.32,562,16,4.66,False
5534,2023-07-26,138.33,140.8,138.02,140.36,,996582.0,52.9144,139.6998,136.3719,132.7988,125.4758,145.28,563,17,3.51,False
5535,2023-07-27,140.97,141.07,138.41,138.42,,1441744.0,46.1639,139.548,136.4365,132.9379,125.6347,145.24,564,18,4.93,False
5536,2023-07-28,139.0,139.32,137.08,137.9,,997061.0,44.5405,139.3616,136.5298,133.0877,125.7975,145.2,565,19,5.29,False
5537,2023-07-31,137.88,137.88,136.26,136.73,,1619498.0,40.988,139.0811,136.6096,133.2401,125.9477,145.15,566,20,6.16,False
5538,2023-08-01,129.73,132.62,128.87,130.91,,3495101.0,28.7754,138.2744,136.5597,133.3467,126.0751,145.11,567,21,10.85,False
5539,2023-08-02,130.42,130.61,126.42,127.06,,2264109.0,23.7366,137.1786,136.4334,133.4105,126.1716,145.07,568,22,14.17,False
5540,2023-08-03,126.34,126.34,124.29,124.49,,2094357.0,21.0888,135.9437,136.2507,133.4372,126.2677,145.03,569,23,16.5,False
5541,2023-08-04,124.66,126.84,124.51,125.02,,1560271.0,22.9821,134.8762,136.1759,133.462,126.3487,144.99,570,24,15.97,False
5542,2023-08-07,125.46,125.96,124.12,124.34,,1273325.0,22.2342,133.8455,136.1211,133.4566,126.4336,144.95,571,25,16.58,False
5543,2023-08-08,123.71,123.96,121.92,123.57,,1787573.0,21.3973,132.8405,136.0673,133.457,126.5191,144.91,572,26,17.27,False
5544,2023-08-09,123.87,126.11,123.68,123.92,,1401729.0,22.8193,131.9641,136.0233,133.4593,126.6152,144.87,573,27,16.91,False
5545,2023-08-10,124.35,125.19,123.52,123.56,,856520.0,22.371,131.1374,135.9962,133.469,126.7043,144.83,574,28,17.21,False
5546,2023-08-11,123.32,123.91,122.52,122.65,,1778263.0,21.2235,130.3029,135.9331,133.4497,126.7808,144.78,575,29,18.04,False
5547,2023-08-14,122.72,123.47,122.33,122.44,,838874.0,20.9468,129.5272,135.8652,133.4139,126.8479,144.74,576,30,18.21,False
5548,2023-08-15,121.9,122.66,121.0,121.26,,994791.0,19.4682,128.7134,135.7255,133.39,126.9015,144.7,577,31,19.33,False
5549,2023-08-16,120.81,121.56,119.66,119.73,,943759.0,17.7246,127.8323,135.5423,133.3551,126.951,144.66,578,32,20.82,False
5550,2023-08-17,120.1,120.3,118.18,118.21,,1007080.0,16.1655,126.8903,135.3327,133.2943,126.9835,144.62,579,33,22.34,False
5551,2023-08-18,117.86,118.36,116.95,117.95,,1329563.0,15.911,126.0136,135.0628,133.2314,127.0153,144.58,580,34,22.58,False
5552,2023-08-21,118.21,119.3,117.79,119.11,,1248085.0,21.8713,125.3303,134.7722,133.1763,127.0604,144.54,581,35,21.35,False
5553,2023-08-22,116.19,116.89,113.57,114.56,,3648941.0,16.8226,124.2796,134.3765,133.0699,127.1031,144.5,582,36,26.13,False
5554,2023-08-23,115.35,115.61,113.2,113.67,,2755237.0,16.0423,123.2443,133.9722,132.9544,127.1524,144.46,583,37,27.09,False
5555,2023-08-24,113.71,114.14,112.82,113.14,,1953143.0,15.5839,122.2577,133.5321,132.8095,127.202,144.42,584,38,27.65,False
5556,2023-08-25,113.4,114.59,112.98,114.05,,1456737.0,19.8645,121.4517,133.0081,132.6853,127.243,144.37,585,39,26.58,False
5557,2023-08-28,117.77,118.07,114.84,116.32,,2658507.0,29.4537,120.9377,132.5181,132.5848,127.3016,144.33,586,40,24.08,False
5558,2023-08-29,116.72,118.19,115.93,118.0,,2213769.0,35.6133,120.6326,132.0317,132.4944,127.3709,144.29,587,41,22.28,False
5559,2023-08-30,118.07,119.63,117.51,119.0,,2017978.0,39.0199,120.4515,131.5739,132.4084,127.4102,144.25,588,42,21.22,False
5560,2023-08-31,119.39,119.84,117.89,117.89,,2745974.0,36.701,120.1824,131.1091,132.3213,127.4309,144.21,589,43,22.33,False
5561,2023-09-01,118.38,118.56,116.89,118.22,,1463339.0,37.8725,119.9699,130.6176,132.2057,127.4642,144.17,590,44,21.95,False
5562,2023-09-05,118.33,118.8,116.59,116.6,,1645019.0,34.4591,119.6234,130.1006,132.0718,127.4806,144.13,591,45,23.61,False
5563,2023-09-06,116.56,122.39,116.29,121.41,,3625247.0,49.0997,119.7669,129.7028,131.9767,127.5242,144.09,592,46,18.68,False
5564,2023-09-07,122.5,122.5,118.79,119.27,,1816447.0,44.3572,119.6937,129.2229,131.8618,127.5687,144.05,593,47,20.78,False
5565,2023-09-08,119.13,120.32,118.59,119.41,,1104475.0,44.7298,119.6406,128.7618,131.7375,127.6041,144.01,594,48,20.6,False
5566,2023-09-11,119.97,122.08,119.78,121.18,,1285958.0,49.3961,119.7609,128.3133,131.6223,127.6463,143.97,595,49,18.81,False
5567,2023-09-12,121.16,121.71,120.06,120.18,,957111.0,46.9856,119.7747,127.8359,131.4598,127.6795,143.92,596,50,19.75,False
5568,2023-09-13,120.03,120.58,119.26,119.39,,1160939.0,45.108,119.712,127.4038,131.2871,127.6956,143.88,597,51,20.51,False
5569,2023-09-14,119.67,120.75,119.18,120.37,,996579.0,47.8835,119.7484,126.9942,131.1284,127.7107,143.84,598,52,19.5,False
5570,2023-09-15,120.14,121.8,119.58,120.06,,2547091.0,47.0808,119.7521,126.6014,130.9645,127.7318,143.8,599,53,19.77,False
5571,2023-09-18,120.06,121.74,119.97,120.77,,1580886.0,49.2106,119.8232,126.2295,130.7986,127.75,143.76,600,54,19.04,False
5572,2023-09-19,120.74,121.09,119.54,120.36,,970189.0,47.9971,119.8481,125.8168,130.6284,127.7607,143.72,601,55,19.41,False
5573,2023-09-20,121.09,121.18,118.92,119.07,,1055928.0,44.3515,119.7483,125.3651,130.4525,127.749,143.68,602,56,20.67,False
5574,2023-09-21,118.65,118.67,116.56,116.59,,1489201.0,38.3023,119.422,124.8744,130.251,127.7267,143.64,603,57,23.2,False
5575,2023-09-22,116.06,116.42,115.17,115.65,,1267357.0,36.2851,119.0374,124.3558,130.0362,127.7032,143.6,604,58,24.17,False
5576,2023-09-25,115.58,116.4,115.31,116.14,,886673.0,38.1319,118.7364,123.8616,129.7852,127.6865,143.56,605,59,23.61,False
5577,2023-09-26,115.57,115.9,111.26,111.3,,3610515.0,29.2135,118.0043,123.3047,129.5193,127.632,143.52,606,60,28.95,False
5578,2023-09-27,111.46,111.64,107.4,109.62,,3121313.0,26.8614,117.182,122.7103,129.2661,127.5609,143.48,607,61,30.89,False
5579,2023-09-28,110.09,113.4,110.05,111.54,,1939050.0,33.4467,116.6205,122.1555,129.0194,127.5065,143.44,608,62,28.6,False
5580,2023-09-29,112.23,113.22,110.85,111.3,,1987046.0,33.0494,116.0898,121.5577,128.775,127.4424,143.39,609,63,28.83,False
5581,2023-10-02,110.44,111.01,109.94,110.51,,1445430.0,31.6978,115.5342,120.9539,128.5364,127.363,143.35,610,64,29.72,False
5582,2023-10-03,109.75,110.38,107.74,109.42,,1850374.0,29.8878,114.928,120.3552,128.2734,127.2791,143.31,611,65,30.97,False
5583,2023-10-04,109.67,110.08,107.21,108.79,,1597561.0,28.871,114.32,119.7553,128.0113,127.1981,143.27,612,66,31.69,False
5584,2023-10-05,109.14,109.45,107.31,108.41,,1048202.0,28.2308,113.7332,119.1177,127.7448,127.1223,143.23,613,67,32.12,False
5585,2023-10-06,107.86,110.79,107.31,110.0,,1570494.0,34.6718,113.3541,118.5507,127.4936,127.0575,143.19,614,68,30.17,False
5586,2023-10-09,109.37,110.23,108.9,109.78,,865889.0,34.2199,112.9903,117.9895,127.2596,126.9892,143.15,615,69,30.4,False
5587,2023-10-10,109.75,112.03,109.32,111.27,,999422.0,39.9657,112.8025,117.4816,127.0456,126.9203,143.11,616,70,28.62,False
5588,2023-10-11,110.11,110.11,103.31,104.49,,3841322.0,27.9685,111.988,116.9544,126.757,126.819,143.07,617,71,36.92,False
5589,2023-10-12,104.49,105.19,101.21,101.88,,2906627.0,24.8764,111.0032,116.4519,126.4427,126.7039,143.03,618,72,40.39,False
5590,2023-10-13,101.49,103.91,101.16,103.45,,1556643.0,29.8912,110.2611,116.0319,126.1413,126.5938,142.99,619,73,38.22,False
5591,2023-10-16,104.22,104.57,102.83,104.19,,1284429.0,32.2046,109.6603,115.6163,125.8961,126.4937,142.95,620,74,37.2,False
5592,2023-10-17,103.52,107.14,103.24,105.72,,1455023.0,36.8151,109.2619,115.2447,125.6829,126.3922,142.91,621,75,35.18,False
5593,2023-10-18,105.72,107.21,104.73,105.32,,1397549.0,36.1279,108.8638,114.8805,125.4739,126.2904,142.87,622,76,35.65,False
5594,2023-10-19,105.07,106.41,103.86,103.95,,1412186.0,33.7847,108.3735,114.482,125.2527,126.1828,142.83,623,77,37.4,False
5595,2023-10-20,103.21,104.76,102.85,103.7,,1294020.0,33.3625,107.9063,114.0857,125.041,126.0681,142.79,624,78,37.7,False
5596,2023-10-23,103.67,105.45,103.67,104.3,,1698226.0,35.4473,107.5402,113.7195,124.8263,125.9682,142.75,625,79,36.86,False
5597,2023-10-24,104.09,104.67,103.31,103.98,,1542010.0,34.8216,107.1788,113.3512,124.6082,125.8685,142.71,626,80,37.25,False
5598,2023-10-25,103.84,103.89,102.37,102.79,,1698543.0,32.5045,106.7387,112.9827,124.3541,125.7612,142.66,627,81,38.79,False
5599,2023-10-26,102.67,103.53,102.14,102.28,,1197764.0,31.5255,106.2915,112.6344,124.0884,125.654,142.62,628,82,39.44,False
5600,2023-10-27,103.15,103.95,101.87,102.35,,1534540.0,31.8232,105.8935,112.3178,123.8253,125.5529,142.58,629,83,39.31,False
5601,2023-10-30,102.91,103.25,101.49,102.56,,1309858.0,32.8118,105.5542,112.0107,123.5368,125.4585,142.54,630,84,38.98,False
5602,2023-10-31,103.15,104.31,102.64,103.56,,1382044.0,37.2648,105.3414,111.7003,123.2362,125.3681,142.5,631,85,37.6,False
5603,2023-11-01,103.66,104.35,102.66,104.21,,1503060.0,40.0872,105.2111,111.4938,122.9352,125.2828,142.46,632,86,36.7,False
5604,2023-11-02,104.99,109.91,104.89,109.3,,3030502.0,56.4771,105.5766,111.4066,122.6894,125.2274,142.42,633,87,30.3,False
5605,2023-11-03,109.78,110.4,106.9,107.86,,2140131.0,52.1357,105.7707,111.3012,122.4167,125.1655,142.38,634,88,32.0,False
5606,2023-11-06,107.62,108.54,106.92,108.41,,2443831.0,53.5929,105.9982,111.1885,122.0983,125.0958,142.34,635,89,31.3,False
5607,2023-11-07,105.27,107.5,103.76,105.06,,2699213.0,44.6276,105.8863,110.9639,121.741,125.0004,142.3,636,90,35.45,False
5608,2023-11-08,105.09,105.61,103.12,104.0,,1524691.0,42.2131,105.6843,110.6845,121.3581,124.9019,142.26,637,91,36.79,False
5609,2023-11-09,104.49,104.73,102.58,103.27,,1729060.0,40.5779,105.4318,110.3706,120.9722,124.8026,142.22,638,92,37.72,False
5610,2023-11-10,103.71,104.91,101.89,104.56,,1966493.0,44.6352,105.3259,110.1044,120.6068,124.7068,142.18,639,93,35.98,False
5611,2023-11-13,105.68,107.63,104.87,104.95,,1702218.0,45.8602,105.2677,109.8397,120.2286,124.611,142.14,640,94,35.44,False
5612,2023-11-14,106.56,108.26,106.24,107.19,,1909655.0,52.2587,105.4271,109.6519,119.8762,124.5267,142.1,641,95,32.57,False
5613,2023-11-15,107.19,110.14,107.19,109.6,,3648663.0,58.0281,105.8004,109.4162,119.5595,124.447,142.06,642,96,29.62,False
5614,2023-11-16,109.85,111.07,109.43,110.64,,2300738.0,60.2627,106.237,109.244,119.2334,124.3702,142.02,643,97,28.36,False
5615,2023-11-17,111.43,111.73,110.41,110.76,,2991438.0,60.5214,106.6434,109.0713,118.9165,124.2959,141.98,644,98,28.19,False
5616,2023-11-20,110.71,111.73,110.43,111.58,,1345366.0,62.3473,107.0893,108.8798,118.5965,124.2156,141.94,645,99,27.21,False
5617,2023-11-21,112.05,112.32,111.44,111.98,,1629299.0,63.2299,107.5305,108.7161,118.276,124.142,141.9,646,100,26.72,False
5618,2023-11-22,112.89,113.86,112.27,112.9,,1246158.0,65.2683,108.0172,108.5866,117.9952,124.061,141.86,647,101,25.65,False
5619,2023-11-24,112.87,113.24,112.29,112.5,,605490.0,63.6343,108.4199,108.4296,117.7119,123.9789,141.82,648,102,26.06,False
5620,2023-11-27,112.15,113.09,111.92,112.91,,1301404.0,64.6122,108.8229,108.2869,117.4441,123.911,141.78,649,103,25.57,False
5621,2023-11-28,112.76,112.84,111.79,112.16,,1212846.0,61.3615,109.1169,108.1151,117.1723,123.8413,141.74,650,104,26.37,False
5622,2023-11-29,112.57,114.02,112.34,112.99,,1311230.0,63.5472,109.461,107.968,116.8924,123.775,141.7,651,105,25.41,False
