date,equity,open_positions,cash
2025-09-02,100000.0,0,100000.0
2025-09-03,100000.0,0,100000.0
2025-09-04,100000.0,0,100000.0
2025-09-05,100000.0,0,100000.0
2025-09-08,100000.0,0,100000.0
2025-09-09,100000.0,0,100000.0
2025-09-10,100000.0,0,100000.0
2025-09-11,100000.0,2,90000.0
2025-09-12,99789.46,2,90000.0
2025-09-15,99802.49,2,90000.0
2025-09-16,99732.63,2,90000.0
2025-09-17,99732.3,2,90000.0
2025-09-18,99921.58,2,90000.0
2025-09-19,99858.06,2,90000.0
2025-09-22,99900.68,2,90000.0
2025-09-23,99739.11,2,90000.0
2025-09-24,99837.33,2,90000.0
2025-09-25,99832.6,2,90000.0
2025-09-26,99866.99,3,85000.0
2025-09-29,99520.45,3,85000.0
2025-09-30,99601.42,3,85000.0
2025-10-01,99493.32,3,85000.0
2025-10-02,99501.15,3,85000.0
2025-10-03,99530.01,3,85000.0
2025-10-06,99615.39,3,85000.0
2025-10-07,99419.14,3,85000.0
2025-10-08,99460.57,3,85000.0
2025-10-09,99190.89,3,85000.0
2025-10-10,98991.21,2,89500.36
2025-10-13,99390.3,2,89500.36
2025-10-14,99388.23,2,89500.36
2025-10-15,99527.08,2,89500.36
2025-10-16,99514.0,2,89500.36
2025-10-17,99462.01,2,89500.36
2025-10-20,99623.94,4,79500.36
2025-10-21,99608.83,5,74500.36
2025-10-22,99703.16,5,74500.36
2025-10-23,100260.47,5,74500.36
2025-10-24,100477.97,5,74500.36
2025-10-27,100350.64,5,74500.36
2025-10-28,100090.9,5,74500.36
2025-10-29,99545.2,5,74500.36
2025-10-30,99472.83,5,74500.36
2025-10-31,98696.3,4,79000.36
2025-11-03,98698.49,4,79000.36
2025-11-04,98461.47,3,83500.75
2025-11-05,98821.73,4,78500.75
2025-11-06,98581.13,3,83469.87
2025-11-07,98266.48,2,87969.8
2025-11-10,98486.21,2,87969.8
2025-11-11,98391.28,2,87969.8
2025-11-12,98414.53,2,87969.8
2025-11-13,98137.47,2,87969.8
2025-11-14,98251.36,2,87969.8
2025-11-17,98117.5,2,87969.8
2025-11-18,97958.78,2,87969.8
2025-11-19,98206.55,4,77969.8
2025-11-20,98018.94,4,77969.8
2025-11-21,98567.2,6,67969.8
2025-11-24,98976.1,6,67969.8
2025-11-25,99678.87,8,57969.8
2025-11-26,99766.52,8,57969.8
2025-11-28,99879.81,8,57969.8
2025-12-01,99467.13,8,57969.8
2025-12-02,99107.34,8,57969.8
2025-12-03,99462.73,8,57969.8
2025-12-04,99523.99,8,57969.8
2025-12-05,99354.09,8,57969.8
2025-12-08,99279.01,8,57969.8
2025-12-09,99209.25,8,57969.8
2025-12-10,100658.68,8,57969.8
2025-12-11,101253.33,8,57969.8
2025-12-12,100977.64,8,57969.8
2025-12-15,101030.22,8,57969.8
2025-12-16,101225.95,7,63033.55
2025-12-17,100886.06,7,63033.55
2025-12-18,100951.57,7,63033.55
2025-12-19,100719.6,7,63033.55
2025-12-22,100595.99,7,63033.55
2025-12-23,100467.82,7,63033.55
2025-12-24,100576.64,7,63033.55
2025-12-26,100513.62,7,63033.55
2025-12-29,100289.54,7,63033.55
2025-12-30,100116.81,7,63033.55
2025-12-31,99727.48,8,58033.55
2026-01-02,100220.01,8,58033.55
2026-01-05,100908.36,9,53580.55
2026-01-06,101506.25,9,53580.55
2026-01-07,101101.11,9,53580.55
2026-01-08,102749.84,8,59580.35
2026-01-09,102599.6,7,65580.55
2026-01-12,102364.24,8,60580.55
2026-01-13,102370.35,8,60580.55
2026-01-14,102060.57,8,60580.55
2026-01-15,102608.51,8,60580.55
2026-01-16,102303.58,8,60580.55
2026-01-20,101928.23,8,60580.55
2026-01-21,102956.94,8,60580.55
2026-01-22,102830.44,6,71412.3
2026-01-23,102108.84,6,71412.3
2026-01-26,102142.03,4,81530.43
2026-01-27,101898.85,4,81530.43
2026-01-28,101848.65,4,81530.43
2026-01-29,101902.0,4,81530.43
2026-01-30,101948.83,4,81530.43
2026-02-02,102484.84,5,76530.43
2026-02-03,102670.03,5,76530.43
2026-02-04,103066.15,5,76530.43
2026-02-05,102973.47,4,82530.36
2026-02-06,103476.26,4,82530.36
2026-02-09,103198.15,4,82530.36
2026-02-10,103051.47,4,82530.36
2026-02-11,103251.26,4,82530.36
2026-02-12,103140.55,4,82530.36
2026-02-13,103182.0,4,82530.36
2026-02-17,103216.77,4,82530.36
2026-02-18,103245.57,4,82530.36
2026-02-19,103053.89,4,82530.36
2026-02-20,103248.07,4,82530.36
2026-02-23,102521.1,4,82530.36
2026-02-24,102156.25,4,82530.36
2026-02-25,102191.07,3,87030.33
2026-02-26,102330.22,4,82030.33
2026-02-27,101788.4,4,82030.33
2026-03-02,101885.53,4,82039.41
2026-03-03,101565.96,4,82039.41
2026-03-04,101610.28,4,82025.84
2026-03-05,100962.44,4,81525.82
2026-03-06,100574.48,3,86025.58
2026-03-09,100513.21,3,86025.58
2026-03-10,100508.52,4,81025.58
2026-03-11,100356.6,4,81025.58
2026-03-12,100395.69,4,81025.58
2026-03-13,100474.05,5,76025.58
2026-03-16,100790.57,7,66025.58
2026-03-17,100899.19,7,66025.58
2026-03-18,100520.15,7,66025.58
2026-03-19,100740.01,9,56025.58
2026-03-20,99785.67,10,51025.58
2026-03-23,100531.84,10,51025.58
2026-03-24,100545.97,10,50525.58
2026-03-25,100901.74,12,40525.58
2026-03-26,100734.03,12,40525.58
2026-03-27,100181.26,12,40525.58
2026-03-30,100437.41,13,35525.58
