ticker,side,event_date,status,close,line,gap_vs_line_pct,anchor1,anchor2,days_since_anchor,slope_yr_pct,vol_ratio20,atr_pct,dollar_vol_m,attempt_no,touch_no,closed_above,confidence,expected_ret_20d
ABNB,upper_breakout,2026-08-07,BREAKOUT,178.07,172.74,3.09,2021-02-11,2021-11-17,1183,-4.3,3.7,3.4,766.13,1.0,,0.0,43.8,-2.37
ADP,upper_breakout,2026-07-02,BREAKOUT,242.27,239.19,1.29,2025-06-06,2025-07-30,232,-26.1,0.82,2.59,733.63,1.0,,0.0,49.3,-0.63
AMAT,upper_breakout,2026-07-14,BREAKOUT,595.7,581.39,2.46,2026-06-30,2026-07-09,3,-99.9,0.51,8.87,7560.58,1.0,,0.0,53.6,2.32
AMAT,upper_breakout,2026-07-20,BREAKOUT,525.7,522.39,0.63,2026-06-30,2026-07-09,7,-99.9,0.55,9.17,6226.93,2.0,,0.0,55.0,1.91
AZN,upper_breakout,2026-07-28,BREAKOUT,172.48,171.54,0.55,2024-08-30,2025-10-06,201,-1.2,1.61,2.96,506.65,2.0,,0.0,50.5,-1.43
BKR,upper_breakout,2026-08-10,BREAKOUT,64.07,63.38,1.08,2026-04-27,2026-05-01,68,-30.8,0.58,3.26,579.81,1.0,,0.0,41.8,0.11
CMCSA,under_touch,2026-07-23,PIERCED,21.92,22.55,-2.81,2009-03-09,2026-06-18,23,8.8,1.29,3.59,900.24,,2.0,0.0,40.5,-0.62
CRWD,upper_breakout,2026-07-06,BREAKOUT,199.38,12.66,1474.52,2026-07-01,2026-07-02,1,-100.0,2.57,14.29,783.62,1.0,,0.0,50.6,-1.47
CRWD,under_touch,2026-07-02,PIERCED,48.5,85.28,-43.13,2020-03-17,2023-01-06,873,45.9,2.75,35.94,184.17,,2.0,0.0,36.7,-2.9
CTAS,upper_breakout,2026-07-28,BREAKOUT,214.9,213.23,0.78,2025-06-06,2025-08-08,242,-6.2,1.45,2.86,543.89,1.0,,0.0,42.7,-0.69
GEHC,under_touch,2026-07-14,SUPPORT_TOUCH,61.66,60.77,1.47,2023-01-04,2025-04-04,318,3.7,2.35,2.99,318.74,,5.0,1.0,42.0,-1.51
GEHC,under_touch,2026-07-23,SUPPORT_TOUCH,61.99,60.83,1.91,2023-01-04,2025-04-04,325,3.7,0.9,3.21,306.3,,6.0,1.0,42.2,-1.64
IDXX,upper_breakout,2026-07-16,BREAKOUT,576.07,573.27,0.49,2025-11-26,2026-01-13,126,-37.7,0.82,3.32,433.93,1.0,,0.0,49.4,-0.71
IDXX,upper_breakout,2026-08-04,BREAKOUT,588.09,568.0,3.54,2025-11-26,2026-07-16,13,-36.3,2.38,3.3,386.16,1.0,,0.0,50.8,-1.56
LIN,upper_breakout,2026-08-05,BREAKOUT,491.05,485.11,1.22,2024-10-17,2025-08-20,240,-0.3,1.01,2.41,1070.6,4.0,,0.0,50.8,-1.56
LRCX,upper_breakout,2026-08-04,BREAKOUT,317.74,309.27,2.74,2026-06-30,2026-07-31,2,-97.4,1.36,7.9,3681.46,1.0,,0.0,50.7,-1.52
MDB,upper_breakout,2026-08-11,BREAKOUT,439.16,432.77,1.48,2021-11-17,2024-02-12,625,-6.4,1.25,4.54,620.34,1.0,,0.0,43.2,-1.46
PYPL,upper_breakout,2026-08-06,BREAKOUT,59.78,59.0,1.32,2021-07-26,2025-10-09,206,-28.2,0.57,2.53,1135.12,1.0,,0.0,42.9,-1.0
ROST,upper_breakout,2026-08-03,BREAKOUT,252.91,251.59,0.53,2026-07-29,2026-07-31,1,-70.8,1.08,2.33,576.6,1.0,,0.0,48.5,0.03
TSLA,upper_breakout,2026-07-30,BREAKOUT,308.85,299.15,3.24,2025-12-22,2026-03-11,97,-57.6,0.89,5.2,13251.92,3.0,,0.0,47.9,0.52
TTD,under_touch,2026-07-23,PIERCED,16.79,17.25,-2.68,2016-11-09,2021-06-17,1279,23.7,1.23,5.46,237.01,,1.0,0.0,42.4,-1.78
TTD,under_touch,2026-08-06,SUPPORT_TOUCH,17.67,17.4,1.56,2016-11-09,2021-06-17,1289,23.7,4.93,5.71,329.84,,2.0,1.0,40.6,-0.54
TTWO,upper_breakout,2026-06-30,BREAKOUT,249.98,249.05,0.37,2025-10-15,2025-12-30,124,-8.4,1.02,3.96,767.19,1.0,,0.0,50.1,-1.25
TTWO,upper_breakout,2026-07-27,BREAKOUT,243.95,229.51,6.29,2026-07-07,2026-07-21,4,-92.9,1.06,2.77,467.43,1.0,,0.0,52.0,2.8
VRSK,upper_breakout,2026-07-28,BREAKOUT,212.26,210.39,0.89,2025-06-05,2025-07-01,269,-31.4,1.72,3.38,387.23,1.0,,0.0,41.8,0.11
VRTX,upper_breakout,2026-07-02,BREAKOUT,528.04,518.9,1.76,2024-11-08,2025-03-14,326,-0.1,0.98,2.69,996.95,1.0,,0.0,50.4,-1.38
VRTX,upper_breakout,2026-07-16,BREAKOUT,486.03,481.02,1.04,2026-07-07,2026-07-08,6,-97.6,0.67,3.35,997.82,1.0,,0.0,49.9,-1.12
