ticker,side,event_date,close,line,gap_vs_line_pct,slope_yr_pct,days_since_anchor,vol_ratio20,atr_pct,runup_20d,dist_from_ath_pct,dollar_vol_m,attempt_no,anchor1,anchor2,touch_no,pierce_depth_pct,closed_above,q_rule,q_status,q_reason,q_ret,q_days,q_exit_date,q_stop_today,event_date_ts,status,spy_ret_20d,spy_above_ma200,confidence,expected_ret_20d,drivers,is_event
EPRT,upper_breakout,2026-08-12,30.63,30.13,1.65,-8.3,294,0.59,1.75,-2.2,-12.18,48.13,9.0,2024-11-29,2025-06-10,,,0.0,,,,,,,,2026-08-12,BREAKOUT,2.342311310131029,1.0,50.7,-1.52,ראן-אפ 20 יום ↑ · מגמת השוק (SPY 20י) ↓,True
CENTA,upper_breakout,2026-08-12,38.83,38.54,0.76,-2.8,561,1.27,3.67,2.83,-13.05,11.67,6.0,2021-05-10,2024-05-15,,,0.0,,,,,,,,2026-08-12,BREAKOUT,2.342311310131029,1.0,50.5,-1.43,ראן-אפ 20 יום ↑ · מגמת השוק (SPY 20י) ↓,True
TOWN,upper_breakout,2026-08-12,37.77,37.68,0.24,-0.9,127,0.67,1.86,4.63,-3.22,26.07,2.0,2024-12-05,2026-02-09,,,0.0,,,,,,,,2026-08-12,BREAKOUT,2.342311310131029,1.0,50.0,-1.21,ראן-אפ 20 יום ↑ · בגרות הקו ↓,True
FBK,upper_breakout,2026-08-13,62.1,62.07,0.04,-0.8,129,0.82,1.6,2.77,-0.89,21.9,1.0,2026-01-21,2026-02-06,,,0.0,,,,,,,,2026-08-13,BREAKOUT,3.617860187553279,1.0,49.1,-0.47,ראן-אפ 20 יום ↑ · בגרות הקו ↓,True
INDB,upper_breakout,2026-08-14,85.94,85.74,0.23,-2.8,130,0.53,1.65,1.69,-13.93,28.02,3.0,2021-03-12,2026-02-06,,,0.0,,,,,,,,2026-08-14,BREAKOUT,4.446447550754096,1.0,48.7,-0.14,ראן-אפ 20 יום ↑ · בגרות הקו ↓,True
HTO,upper_breakout,2026-08-11,62.28,61.46,1.34,-8.3,835,0.8,2.73,-1.05,-25.75,29.19,4.0,2022-12-28,2023-04-12,,,0.0,,,,,,,,2026-08-11,BREAKOUT,2.491254671933807,1.0,47.2,0.68,ראן-אפ 20 יום ↑ · מגמת השוק (SPY 20י) ↓,True
WERN,upper_breakout,2026-08-12,37.85,36.72,3.07,-8.6,129,0.57,4.5,-13.21,-24.77,55.75,3.0,2023-02-02,2026-02-05,,,0.0,,,,,,,,2026-08-12,BREAKOUT,2.342311310131029,1.0,46.5,0.5,ראן-אפ 20 יום ↑ · בגרות הקו ↓,True
AWR,upper_breakout,2026-08-13,88.68,88.14,0.61,-3.5,930,0.72,2.31,0.85,-14.54,25.73,2.0,2021-12-31,2022-11-25,,,0.0,,,,,,,,2026-08-13,BREAKOUT,3.617860187553279,1.0,46.3,0.45,ראן-אפ 20 יום ↑ · מגמת השוק (SPY 20י) ↓,True
FIBK,upper_breakout,2026-08-12,38.53,38.19,0.89,-5.3,127,0.75,1.96,-2.08,-24.8,50.13,5.0,2021-03-18,2026-02-09,,,0.0,,,,,,,,2026-08-12,BREAKOUT,2.342311310131029,1.0,45.8,0.32,ראן-אפ 20 יום ↑ · בגרות הקו ↓,True
PGNY,upper_breakout,2026-08-13,25.89,25.49,1.58,-18.8,146,0.99,5.24,-18.74,-62.1,29.73,3.0,2021-11-05,2026-01-13,,,0.0,,,,,,,,2026-08-13,BREAKOUT,3.617860187553279,1.0,45.7,0.29,ראן-אפ 20 יום ↑ · בגרות הקו ↓,True
COMP,upper_breakout,2026-08-13,13.35,13.24,0.82,-9.1,138,0.91,4.97,9.61,-39.62,154.27,1.0,2021-04-01,2026-01-26,,,0.0,,,,,,,,2026-08-13,BREAKOUT,3.617860187553279,1.0,44.3,-3.14,ראן-אפ 20 יום ↓ · בגרות הקו ↓,True
FRSH,upper_breakout,2026-08-13,12.68,12.31,3.01,-26.5,387,0.89,5.04,15.8,-76.24,140.9,1.0,2021-11-02,2025-01-28,,,0.0,,,,,,,,2026-08-13,BREAKOUT,3.617860187553279,1.0,44.0,-2.68,ראן-אפ 20 יום ↓ · מחזור דולרי ↑,True
DNOW,upper_breakout,2026-08-12,16.84,16.7,0.85,-6.5,374,0.98,3.65,23.82,-55.27,45.46,1.0,2014-06-27,2025-02-13,,,0.0,,,,,,,,2026-08-12,BREAKOUT,2.342311310131029,1.0,44.0,-2.68,ראן-אפ 20 יום ↓ · מגמת השוק (SPY 20י) ↓,True
HP,upper_breakout,2026-08-10,41.87,40.72,2.82,-8.5,66,3.05,4.05,23.26,-64.8,49.34,1.0,2014-07-02,2026-05-05,,,0.0,,,,,,,,2026-08-10,BREAKOUT,3.184857909419758,1.0,43.9,-2.53,ראן-אפ 20 יום ↓ · מגמת השוק (SPY 20י) ↓,True
KNTK,upper_breakout,2026-08-14,53.44,52.69,1.42,-14.8,393,0.88,3.17,6.28,-61.72,56.63,1.0,2020-07-01,2025-01-21,,,0.0,,,,,,,,2026-08-14,BREAKOUT,4.446447550754096,1.0,43.8,-2.37,ראן-אפ 20 יום ↓ · מחזור דולרי ↑,True
HRI,upper_breakout,2026-08-10,169.76,169.46,0.17,-19.5,123,0.59,5.39,14.93,-31.24,95.99,2.0,2024-11-06,2026-02-11,,,0.0,,,,,,,,2026-08-10,BREAKOUT,3.184857909419758,1.0,43.8,-2.37,בגרות הקו ↓ · ראן-אפ 20 יום ↓,True
CGEM,upper_breakout,2026-08-11,19.63,18.55,5.84,-19.5,566,1.48,5.12,10.47,-67.2,10.74,1.0,2021-03-10,2024-05-07,,,0.0,,,,,,,,2026-08-11,BREAKOUT,2.491254671933807,1.0,43.7,-2.22,ראן-אפ 20 יום ↓ · מגמת השוק (SPY 20י) ↓,True
AVAH,upper_breakout,2026-08-14,12.32,11.63,5.89,-2.1,1289,2.85,4.51,27.14,-5.23,31.72,1.0,2021-06-14,2021-06-25,,,0.0,,,,,,,,2026-08-14,BREAKOUT,4.446447550754096,1.0,43.7,-2.22,ראן-אפ 20 יום ↓ · מחזור דולרי ↑,True
ANF,upper_breakout,2026-08-10,118.53,115.68,2.46,-21.6,145,1.38,4.19,29.41,-39.83,115.72,1.0,2024-05-29,2026-01-09,,,0.0,,,,,,,,2026-08-10,BREAKOUT,3.184857909419758,1.0,43.5,-1.91,ראן-אפ 20 יום ↓ · בגרות הקו ↓,True
QLYS,upper_breakout,2026-08-10,185.8,185.48,0.17,-4.0,657,1.1,5.84,22.61,-9.96,155.96,1.0,2023-12-19,2023-12-22,,,0.0,,,,,,,,2026-08-10,BREAKOUT,3.184857909419758,1.0,43.4,-1.76,ראן-אפ 20 יום ↓ · מגמת השוק (SPY 20י) ↓,True
WHD,upper_breakout,2026-08-10,71.07,68.58,3.63,-1.2,425,0.94,4.06,32.92,-0.03,61.89,1.0,2024-11-12,2024-11-25,,,0.0,,,,,,,,2026-08-10,BREAKOUT,3.184857909419758,1.0,43.4,-1.76,ראן-אפ 20 יום ↓ · מגמת השוק (SPY 20י) ↓,True
CVNA,upper_breakout,2026-08-10,74.16,72.58,2.18,-42.0,134,1.11,5.48,14.11,-23.84,796.02,1.0,2026-01-23,2026-01-27,,,0.0,,,,,,,,2026-08-10,BREAKOUT,3.184857909419758,1.0,43.0,-1.15,בגרות הקו ↓ · ראן-אפ 20 יום ↓,True
LNZA,upper_breakout,2026-08-13,6.21,6.08,2.21,-99.8,83,0.88,6.29,12.09,-99.72,0.43,1.0,2025-08-19,2026-04-15,,,0.0,,,,,,,,2026-08-13,BREAKOUT,3.617860187553279,1.0,42.9,-1.0,ראן-אפ 20 יום ↓ · מגמת השוק (SPY 20י) ↓,True
QNST,upper_breakout,2026-08-10,22.02,21.28,3.48,-11.4,377,1.93,4.87,25.04,-16.18,20.79,1.0,2024-11-05,2025-02-06,,,0.0,,,,,,,,2026-08-10,BREAKOUT,3.184857909419758,1.0,42.9,-1.0,ראן-אפ 20 יום ↓ · מגמת השוק (SPY 20י) ↓,True
LEGH,upper_breakout,2026-08-11,28.94,28.6,1.18,-1.2,472,0.88,4.33,11.09,-7.66,3.89,2.0,2024-07-31,2024-09-20,,,0.0,,,,,,,,2026-08-11,BREAKOUT,2.491254671933807,1.0,42.4,-0.23,מחזור דולרי ↓ · ראן-אפ 20 יום ↓,True
SGHT,upper_breakout,2026-08-10,7.7,7.47,3.13,-29.4,154,1.24,6.53,44.19,-81.91,1.85,1.0,2021-08-02,2025-12-26,,,0.0,,,,,,,,2026-08-10,BREAKOUT,3.184857909419758,1.0,42.4,-0.23,ראן-אפ 20 יום ↓ · בגרות הקו ↓,True
APPN,upper_breakout,2026-08-13,37.01,35.21,5.11,-30.4,187,0.76,6.7,41.21,-85.77,34.69,2.0,2021-01-27,2025-11-12,,,0.0,,,,,,,,2026-08-13,BREAKOUT,3.617860187553279,1.0,42.4,-0.23,ראן-אפ 20 יום ↓ · בגרות הקו ↓,True
FRST,upper_breakout,2026-08-13,16.67,16.65,0.11,-1.1,2043,1.44,2.12,2.02,-9.79,3.06,1.0,2017-04-27,2018-06-26,,,0.0,,,,,,,,2026-08-13,BREAKOUT,3.617860187553279,1.0,42.1,0.03,ראן-אפ 20 יום ↑ · מחזור דולרי ↓,True
BGC,upper_breakout,2026-08-12,10.76,10.22,5.3,-7.9,437,1.29,3.69,-4.1,-88.03,26.42,3.0,2000-03-13,2024-11-11,,,0.0,,,,,,,,2026-08-12,BREAKOUT,2.342311310131029,1.0,41.6,0.03,ראן-אפ 20 יום ↑ · מגמת השוק (SPY 20י) ↓,True
KMT,upper_breakout,2026-08-14,31.22,30.92,0.98,-6.0,1346,1.15,5.95,-7.47,-40.56,45.75,2.0,2018-01-16,2021-04-06,,,0.0,,,,,,,,2026-08-14,BREAKOUT,4.446447550754096,1.0,39.0,-1.05,ראן-אפ 20 יום ↑ · מחזור דולרי ↑,True
NWFL,upper_breakout,2026-08-14,34.49,35.31,-2.33,-1.8,1665,1.94,2.71,10.09,-15.01,1.4,1.0,2018-09-25,2019-12-27,,,,,,,,,,,,APPROACHING,,,,,,False
NGVT,upper_breakout,2026-08-14,76.77,78.03,-1.62,-5.6,69,0.75,3.97,0.31,-36.24,19.07,1.0,2019-02-21,2026-05-06,,,,,,,,,,,,APPROACHING,,,,,,False
NATR,upper_breakout,2026-08-14,15.12,15.44,-2.07,-13.2,237,1.26,6.76,-25.99,-46.27,2.91,2.0,2024-03-13,2025-09-04,,,,,,,,,,,,APPROACHING,,,,,,False
KWR,upper_breakout,2026-08-14,170.72,174.22,-2.01,-9.6,123,0.87,4.58,13.35,-43.47,26.44,1.0,2021-02-22,2026-02-18,,,,,,,,,,,,APPROACHING,,,,,,False
JMSB,upper_breakout,2026-08-14,23.25,23.91,-2.75,-5.8,439,0.44,2.58,4.82,-22.27,0.76,1.0,2022-11-01,2024-11-11,,,,,,,,,,,,APPROACHING,,,,,,False
SVV,upper_breakout,2026-08-14,10.66,10.93,-2.44,-26.2,198,1.35,6.27,7.24,-60.34,18.69,2.0,2023-08-24,2025-10-29,,,,,,,,,,,,APPROACHING,,,,,,False
HTBK,upper_breakout,2026-08-14,13.45,13.57,-0.91,-3.5,129,,,0.0,-50.8,,1.0,2007-02-08,2026-02-09,,,,,,,,,,,,APPROACHING,,,,,,False
WAFD,upper_breakout,2026-08-14,37.94,38.16,-0.59,-0.7,429,0.53,1.45,-0.47,-3.91,21.81,3.0,2022-11-11,2024-11-25,,,,,,,,,,,,APPROACHING,,,,,,False
PLUS,upper_breakout,2026-08-14,88.53,90.36,-2.03,-9.2,66,0.35,4.2,-0.83,-17.25,24.0,2.0,2024-11-06,2026-05-11,,,,,,,,,,,,APPROACHING,,,,,,False
SWX,upper_breakout,2026-08-14,92.6,94.34,-1.84,-0.3,72,0.75,1.94,0.59,-3.16,43.6,1.0,2022-05-27,2026-05-01,,,,,,,,,,,,APPROACHING,,,,,,False
STHO,upper_breakout,2026-08-14,9.8,9.82,-0.22,-18.6,476,1.4,2.58,4.14,-49.95,0.15,1.0,2023-04-04,2024-09-19,,,,,,,,,,,,APPROACHING,,,,,,False
RDN,upper_breakout,2026-08-14,37.26,37.82,-1.47,-2.9,227,0.64,2.58,-5.38,-44.68,39.04,4.0,2007-02-06,2025-09-18,,,,,,,,,,,,APPROACHING,,,,,,False
IBOC,upper_breakout,2026-08-14,73.38,74.81,-1.91,-1.6,130,0.65,2.01,-4.12,-6.47,23.04,4.0,2024-11-25,2026-02-06,,,,,,,,,,,,APPROACHING,,,,,,False
BRSP,upper_breakout,2026-08-14,5.0,5.01,-0.12,-17.7,232,0.44,2.93,-8.93,-78.48,7.48,6.0,2018-09-20,2025-09-11,,,,,,,,,,,,APPROACHING,,,,,,False
AVIR,upper_breakout,2026-08-14,5.12,5.13,-0.14,-41.2,109,0.66,6.46,5.13,-94.56,1.93,2.0,2021-02-11,2026-03-10,,,,,,,,,,,,APPROACHING,,,,,,False
CASS,upper_breakout,2026-08-14,58.41,59.85,-2.4,-0.5,2001,0.87,2.27,9.55,-5.91,4.11,1.0,2018-06-22,2018-08-27,,,,,,,,,,,,APPROACHING,,,,,,False
CZNC,upper_breakout,2026-08-14,25.98,26.08,-0.37,-1.6,1823,1.16,2.53,11.31,-28.65,1.75,1.0,2005-07-20,2019-05-14,,,,,,,,,,,,APPROACHING,,,,,,False
FUL,upper_breakout,2026-08-14,62.75,63.35,-0.94,-14.8,126,1.33,3.11,10.17,-28.42,40.68,1.0,2024-07-31,2026-02-12,,,,,,,,,,,,APPROACHING,,,,,,False
GCMG,upper_breakout,2026-08-14,13.86,14.18,-2.26,-1.4,372,0.78,3.11,7.44,-9.77,7.29,1.0,2020-12-11,2025-02-20,,,,,,,,,,,,APPROACHING,,,,,,False
GHC,upper_breakout,2026-08-14,1191.2,1194.92,-0.31,-0.5,220,1.35,3.22,1.13,-5.64,28.27,3.0,2025-09-16,2025-09-29,,,,,,,,,,,,APPROACHING,,,,,,False
