ticker,side,entry_date,entry,sl,tp,confidence,last,pnl_pct,days_held
EXPI,פריצה,2025-11-07,10.8,9.72,12.96,55.8,10.23,-5.28,9
PFS,פריצה,2026-06-22,23.01,20.71,27.61,65.3,24.74,7.52,35
ACEL,פריצה,2026-06-23,13.01,11.71,15.61,56.5,12.25,-5.84,34
ENSG,פריצה,2026-06-24,164.07,147.66,196.88,64.6,180.2,9.83,33
BMRC,פריצה,2026-06-26,27.77,24.99,33.32,55.1,28.47,2.52,31
UE,פריצה,2026-07-07,23.06,20.75,27.67,65.3,21.63,-6.2,25
ASO,תמיכה,2026-07-08,44.46,40.01,53.35,55.6,49.56,11.47,24
ADMA,פריצה,2026-07-16,8.81,7.93,10.57,64.8,9.9,12.43,18
CPK,פריצה,2026-07-22,135.23,121.71,162.28,55.0,133.56,-1.23,14
GATX,פריצה,2026-07-22,180.34,162.31,216.41,60.3,177.56,-1.54,14
BSVN,פריצה,2026-07-23,50.4,45.36,60.48,59.2,51.06,1.31,13
EYE,פריצה,2026-07-23,19.99,17.99,23.99,61.0,22.06,10.36,13
AVO,פריצה,2026-07-28,12.85,11.56,15.42,61.3,12.9,0.39,10
AX,פריצה,2026-07-28,99.18,89.26,119.02,62.8,100.16,0.99,10
CYTK,פריצה,2026-07-30,80.42,72.38,96.5,64.6,76.45,-4.94,8
DY,פריצה,2026-07-30,417.15,375.44,500.58,60.7,403.18,-3.35,8
BOOT,פריצה,2026-08-04,163.28,146.95,195.94,64.3,165.8,1.54,5
CENTA,פריצה,2026-08-06,40.6,36.54,48.72,56.4,38.41,-5.39,3
FCPT,תמיכה,2026-08-11,24.53,22.08,29.44,55.4,24.53,0.0,0
HIFS,פריצה,2026-08-11,311.5,280.35,373.8,56.0,311.5,0.0,0
