ticker,side,entry_date,entry,sl,tp,confidence,exit_date,exit,reason,pnl,pnl_pct,days_held
VITL,פריצה,2025-09-04,51.6,46.44,61.92,55.4,2025-09-09,46.44,SL,-500.0,-10.0,2
PI,פריצה,2025-09-08,200.78,180.7,240.94,56.7,2025-09-12,180.7,SL,-500.05,-10.0,3
PARR,פריצה,2025-09-09,36.2,32.58,43.44,56.7,2025-09-15,32.58,SL,-500.0,-10.0,3
BOOT,פריצה,2025-09-04,190.88,171.79,229.06,56.0,2025-09-19,171.79,SL,-500.05,-10.0,10
SMTI,פריצה,2025-09-08,35.75,32.18,42.9,55.3,2025-09-24,32.18,SL,-499.3,-9.99,11
JANX,פריצה,2025-09-10,24.31,21.88,29.17,65.3,2025-09-25,21.88,SL,-499.79,-10.0,10
ADPT,פריצה,2025-09-22,13.94,12.55,16.73,55.8,2025-09-25,12.55,SL,-498.57,-9.97,2
CHEF,פריצה,2025-09-08,64.84,58.36,77.81,63.8,2025-09-26,58.36,SL,-499.69,-9.99,13
AUPH,פריצה,2025-09-09,12.35,11.12,14.82,56.9,2025-09-29,11.12,SL,-497.98,-9.96,13
PLMR,פריצה,2025-09-08,123.79,111.41,148.55,62.7,2025-10-01,111.41,SL,-500.04,-10.0,16
AESI,פריצה,2025-09-26,11.9,10.71,14.28,55.4,2025-10-10,10.71,SL,-500.0,-10.0,9
PLPC,פריצה,2025-09-10,193.57,174.21,232.28,57.8,2025-10-15,232.28,TP,999.9,20.0,24
SSB,פריצה,2025-09-04,103.55,93.19,124.26,55.6,2025-10-16,93.19,SL,-500.24,-10.0,29
XMTR,פריצה,2025-09-12,50.96,45.86,61.15,55.7,2025-10-16,45.86,SL,-500.39,-10.01,23
BBIO,פריצה,2025-10-01,53.48,48.13,64.18,60.9,2025-10-27,64.18,TP,1000.37,20.01,17
TRS,פריצה,2025-09-08,39.1,35.19,46.92,56.5,2025-10-28,35.19,SL,-500.0,-10.0,35
HWKN,פריצה,2025-09-08,175.56,158.0,210.67,63.2,2025-10-29,158.0,SL,-500.11,-10.0,36
AIR,פריצה,2025-09-04,77.11,69.4,92.53,55.6,2025-10-30,84.22,TIME,461.03,9.22,40
AXSM,פריצה,2025-09-04,124.41,111.97,149.29,57.1,2025-10-30,133.15,TIME,351.26,7.03,40
SVV,פריצה,2025-09-04,12.74,11.47,15.29,55.3,2025-10-30,13.23,TIME,192.31,3.85,40
NBHC,פריצה,2025-09-25,39.29,35.36,47.15,65.3,2025-10-31,35.36,SL,-500.13,-10.0,25
FCFS,פריצה,2025-09-08,147.92,133.13,177.5,55.4,2025-11-03,158.83,TIME,368.78,7.38,40
HMN,פריצה,2025-09-08,46.4,41.76,55.68,59.7,2025-11-03,44.25,TIME,-231.68,-4.63,40
RDNT,פריצה,2025-09-08,71.99,64.79,86.39,55.9,2025-11-03,77.82,TIME,404.92,8.1,40
BNL,פריצה,2025-09-10,18.62,16.76,22.34,58.1,2025-11-05,18.03,TIME,-158.43,-3.17,40
APPN,פריצה,2025-10-31,29.93,26.94,35.92,59.3,2025-11-06,35.92,TP,1000.67,20.01,3
BBSI,פריצה,2025-11-03,40.62,36.56,48.74,56.3,2025-11-06,36.56,SL,-499.75,-10.0,2
ALG,פריצה,2025-10-16,183.95,165.56,220.74,59.7,2025-11-07,165.56,SL,-499.86,-10.0,15
