ticker,side,event_date,event_close,line_price,slope_yr_%,days_since_anchor,attempt_no,ret_5d_%,ret_10d_%,ret_20d_%,ret_to_end_%
VTYX,under_bounce,2025-08-19,2.63,2.6,2592.3,65,,-5.7,-1.9,-12.17,432.32
TWST,under_bounce,2025-11-14,26.87,26.63,39.5,70,,6.29,11.13,15.63,358.21
FSLY,under_bounce,2025-10-29,8.02,7.95,159.0,62,,0.62,48.38,48.13,258.85
NDLS,under_bounce,2026-02-05,4.4,4.4,0.0,273,,-9.11,19.07,36.11,254.03
EWTX,under_bounce,2025-08-07,12.95,12.62,68.9,84,,7.57,12.9,20.23,242.16
ONTO,under_bounce,2025-08-01,94.3,91.6,33.0,57,,9.1,13.41,12.41,239.12
XNCR,under_bounce,2025-08-07,7.32,7.21,2.0,82,,4.51,1.64,16.8,201.91
AMWL,under_bounce,2026-02-03,4.34,4.2,54.9,50,,1.61,34.56,25.81,199.31
TBI,under_bounce,2026-03-26,3.55,3.5,1.5,223,,12.68,-6.2,34.37,187.04
CGEM,under_bounce,2025-09-04,6.91,6.89,1.4,76,,-4.2,-8.25,-16.79,184.08
IMVT,under_bounce,2025-08-12,15.21,15.05,64.5,85,,-2.56,-0.85,6.51,169.1
NRIX,under_bounce,2025-08-11,9.65,9.51,58.1,83,,5.7,0.21,-4.66,169.02
TBI,under_bounce,2026-02-25,3.8,3.49,1.5,202,,12.37,1.84,-6.05,168.16
BW,under_bounce,2025-10-30,3.46,3.18,15060.0,65,,48.84,87.86,80.64,165.61
RDW,under_bounce,2025-11-21,5.3,5.17,47.9,508,,-3.4,28.68,60.75,154.91
XGN,under_bounce,2026-04-24,2.7,2.63,41.9,496,,13.33,9.26,57.78,150.74
PUBM,under_bounce,2026-01-30,7.26,7.24,7.1,56,,-10.61,-9.92,12.67,143.11
RYAM,under_bounce,2025-08-04,3.73,3.67,30.3,60,,19.84,37.8,50.67,133.78
LFST,under_bounce,2025-11-03,4.92,4.84,172.6,61,,30.69,27.03,28.05,133.74
URGN,under_bounce,2026-03-04,20.16,18.27,762.2,190,,-6.55,-8.33,-6.05,133.68
REPL,under_bounce,2026-04-09,5.91,5.22,154.6,139,,-62.94,-51.78,-43.49,130.96
