ticker,side,event_date,close,line,gap_vs_line_pct,slope_yr_pct,days_since_anchor,vol_ratio20,atr_pct,runup_20d,dist_from_ath_pct,dollar_vol_m,attempt_no,ret_5d,ret_10d,ret_20d,ret_40d,ret_end,mfe_20d,mae_20d,stop_day,ret_at_stop,touch_no,pierce_depth_pct,closed_above
AAON,upper_breakout,2022-07-21,38.42,37.57,2.25,-47.7,136,0.87,3.53,13.17,-31.22,6.11,1.0,2.39,8.38,9.08,-1.02,128.19,11.92,-3.75,,,,,
AAON,upper_breakout,2023-06-13,64.44,63.81,0.99,-56.6,25,1.95,2.49,2.32,-7.35,22.33,1.0,3.51,-1.47,0.76,-2.39,36.05,3.93,-5.88,1.0,-2.13,,,
AAON,upper_breakout,2023-06-16,63.87,63.18,1.09,-56.6,28,1.66,2.59,4.7,-8.17,21.88,2.0,-0.22,0.02,9.49,-1.36,37.26,10.74,-5.04,,,,,
AAT,under_touch,2023-03-09,21.38,21.63,-1.16,2.4,748,3.21,3.53,-20.99,-56.6,12.18,,-12.91,-22.92,-13.24,-11.55,7.39,0.56,-24.98,1.0,-7.44,1.0,1.48,False
AAT,under_touch,2023-03-13,19.54,19.55,-0.06,1.5,1,2.53,4.45,-26.07,-60.33,12.58,,-10.18,-11.62,-7.11,-3.53,17.5,3.43,-17.91,1.0,-2.97,1.0,3.79,False
AAT,under_touch,2023-03-15,18.82,18.68,0.75,1.1,1,1.78,5.02,-28.71,-61.79,13.44,,-9.51,-4.36,-5.84,0.21,22.0,1.06,-14.77,1.0,-1.06,1.0,2.15,True
AAT,under_touch,2023-03-22,17.03,17.33,-1.74,0.4,3,0.65,6.71,-33.84,-65.43,16.11,,5.7,8.34,6.75,10.63,34.82,10.28,-5.81,1.0,-3.23,1.0,1.85,False
AAT,under_touch,2023-03-28,17.54,18.42,-4.79,3784610576.6,1,0.49,6.17,-30.48,-64.39,17.64,,3.36,0.86,2.0,8.89,30.9,7.07,-1.48,1.0,2.62,1.0,8.1,False
AAT,under_touch,2023-03-31,18.59,18.36,1.26,90062.7,3,0.55,4.66,-25.13,-62.26,18.97,,-1.99,-1.83,-3.34,3.39,23.51,1.83,-7.05,1.0,-1.56,1.0,1.41,True
AAT,under_touch,2023-04-05,18.45,18.17,1.53,4988.8,1,0.74,4.08,-18.0,-62.55,16.39,,-3.96,-1.46,1.19,6.18,24.44,2.6,-7.53,2.0,-1.25,1.0,1.33,True
AAT,under_touch,2023-04-12,17.69,18.1,-2.27,1166.1,2,0.76,3.57,-6.7,-64.09,12.65,,3.84,1.13,7.07,11.81,29.79,10.8,-3.56,1.0,0.17,1.0,2.82,False
AAT,under_touch,2023-04-14,17.45,17.56,-0.65,412.0,1,0.72,3.33,-6.28,-64.58,11.2,,2.81,4.3,7.62,12.84,31.58,12.32,-2.23,2.0,1.72,1.0,1.61,False
AAT,under_touch,2023-04-21,17.94,18.14,-1.11,412.0,6,0.57,3.5,8.86,-63.58,8.2,,1.45,5.41,5.74,7.58,27.98,9.25,-4.91,1.0,-0.5,2.0,2.27,False
AAT,under_touch,2023-04-25,17.39,17.71,-1.83,229.0,1,0.86,3.52,0.69,-64.7,7.67,,1.84,8.4,12.65,6.1,32.03,15.7,-1.9,4.0,3.34,1.0,2.33,False
AAT,under_touch,2023-05-01,17.97,18.05,-0.45,229.0,5,0.92,3.63,-3.34,-63.52,8.07,,5.06,5.4,6.96,3.78,27.77,11.96,-5.06,1.0,-1.45,2.0,1.39,False
AAT,under_touch,2023-06-22,18.45,18.54,-0.47,81.8,35,1.16,3.38,-5.82,-62.55,7.27,,3.85,6.99,19.19,13.28,24.44,21.03,-3.36,1.0,-2.01,1.0,1.06,False
ABCB,upper_breakout,2022-10-26,51.16,50.9,0.5,-10.7,197,1.11,3.01,11.61,-14.52,18.02,1.0,-0.7,-0.08,2.95,-7.88,75.51,6.02,-3.07,6.0,-2.15,,,
ABCB,upper_breakout,2022-11-04,51.75,50.74,1.98,-10.7,204,0.85,3.02,6.99,-13.53,20.98,2.0,3.42,0.52,-2.65,-10.16,73.51,4.81,-4.1,,,,,
ABG,upper_breakout,2022-08-16,198.57,186.7,6.36,-23.1,71,1.66,4.07,13.49,-14.02,34.68,1.0,-8.43,-9.14,-18.92,-21.39,6.02,-0.36,-22.87,4.0,-8.63,,,
ABG,upper_breakout,2022-08-25,188.66,185.34,1.79,-23.1,78,0.66,3.61,9.71,-18.31,28.06,2.0,-7.98,-9.53,-21.72,-24.12,11.59,1.74,-24.05,1.0,-2.32,,,
ABG,upper_breakout,2023-01-11,191.97,191.61,0.19,-14.3,102,0.61,3.41,6.78,-16.88,41.87,1.0,-4.13,4.51,20.57,17.33,9.66,32.14,-6.82,2.0,-1.52,,,
ABG,upper_breakout,2023-01-23,191.84,190.79,0.55,-14.3,109,0.56,3.19,16.14,-16.94,32.44,2.0,11.65,23.02,16.39,6.47,9.74,32.23,-2.75,1.0,-1.46,,,
ABG,upper_breakout,2023-01-25,193.64,190.56,1.62,-14.3,111,1.02,3.0,14.57,-16.16,30.02,3.0,19.62,19.98,18.46,2.23,8.72,31.0,0.7,,,,,
ACA,upper_breakout,2022-08-04,58.93,57.3,2.84,-11.6,88,2.1,3.16,28.95,-13.92,8.53,1.0,8.13,9.3,-2.48,-2.97,146.12,11.66,-3.19,,,,,
ACA,upper_breakout,2022-09-06,57.21,56.69,0.92,-11.6,110,1.16,3.1,-7.53,-16.43,9.89,2.0,0.31,0.3,11.03,13.32,153.52,11.57,-5.65,8.0,-1.85,,,
ACA,upper_breakout,2022-09-19,58.11,56.44,2.96,-11.6,119,0.91,2.96,-9.6,-15.12,9.22,3.0,-6.69,4.2,1.55,1.45,149.6,9.84,-7.11,4.0,-6.16,,,
ACA,upper_breakout,2022-09-28,56.76,56.25,0.91,-11.6,126,1.6,3.03,-4.92,-17.09,9.84,4.0,10.73,3.17,8.91,3.72,155.53,12.46,-2.47,,,,,
ACA,upper_breakout,2022-12-19,55.59,54.7,1.62,-11.6,183,0.93,3.98,-6.45,-18.8,13.98,5.0,-0.38,-4.41,-1.01,6.62,160.91,6.28,-6.39,6.0,-2.75,,,
ACA,upper_breakout,2022-12-29,54.99,54.51,0.87,-11.6,190,0.66,2.93,-10.0,-19.68,13.69,6.0,-2.27,6.71,6.18,10.2,163.76,7.44,-5.36,1.0,-1.18,,,
ACA,upper_breakout,2023-01-10,55.49,54.33,2.14,-11.6,197,0.72,2.6,-5.87,-18.95,14.88,7.0,1.5,1.08,6.36,7.55,161.38,9.05,-1.71,,,,,
ACA,under_touch,2022-07-05,46.15,45.01,2.52,23.1,2,1.05,3.8,-13.46,-32.59,9.6,,-2.47,2.02,12.2,29.36,214.28,14.11,-5.7,4.0,-2.3,1.0,1.9,True
ACA,under_touch,2022-07-11,45.09,45.16,-0.16,23.1,6,0.39,3.1,-16.16,-34.14,9.03,,1.31,7.58,37.21,26.88,221.67,40.23,-3.48,1.0,-0.18,2.0,0.83,False
ACA,under_touch,2022-07-13,44.72,44.37,0.78,22.5,6,0.47,3.1,-11.04,-34.68,8.8,,7.27,11.14,43.25,31.82,224.33,44.25,-2.68,,,1.0,1.18,True
ACEL,under_touch,2022-08-10,9.51,10.23,-7.02,32.6,40,2.65,4.98,-12.91,-37.06,2.04,,9.36,3.26,-4.84,-11.04,30.6,12.83,-7.15,1.0,4.31,1.0,8.19,False
ACEL,under_touch,2022-09-01,9.43,9.32,1.18,26.7,15,0.98,3.15,-20.22,-37.59,2.64,,-0.74,-4.35,-17.18,4.45,31.71,2.33,-18.88,2.0,-2.12,1.0,0.76,True
ACEL,under_touch,2022-09-08,9.05,9.09,-0.42,25.2,1,1.26,3.16,-4.84,-40.11,2.59,,1.33,-11.27,-6.52,5.19,37.24,6.63,-15.47,6.0,-0.33,1.0,2.84,False
ACEL,under_touch,2022-09-14,9.17,9.12,0.54,25.2,5,1.15,3.51,-12.08,-39.31,2.51,,-9.27,-12.98,-8.18,-6.65,35.44,1.53,-16.58,2.0,-1.64,2.0,0.88,True
