ticker,side,event_date,close,line,gap_vs_line_pct,slope_yr_pct,days_since_anchor,vol_ratio20,atr_pct,runup_20d,dist_from_ath_pct,dollar_vol_m,attempt_no,ret_5d,ret_10d,ret_20d,ret_40d,ret_end,mfe_20d,mae_20d,stop_day,ret_at_stop,touch_no,pierce_depth_pct,closed_above
AAON,upper_breakout,2026-05-07,129.25,102.03,26.68,-20.9,324,6.05,6.71,42.39,-13.26,164.48,1.0,8.32,2.43,2.61,-14.94,-32.17,16.41,-2.39,,,,,
ABCB,upper_breakout,2025-07-01,66.31,65.36,1.45,-20.2,1,1.14,2.05,9.13,-11.06,22.26,1.0,1.45,0.21,3.5,11.33,35.41,6.21,-2.52,,,,,
ABCB,upper_breakout,2026-05-05,86.58,85.87,0.83,-10.0,12,0.64,2.1,8.78,-1.59,48.94,1.0,-2.95,-4.6,-4.4,4.09,3.71,1.63,-5.36,4.0,-1.77,,,
ABCB,upper_breakout,2026-05-26,85.71,85.36,0.4,-10.0,26,1.04,2.04,0.69,-2.59,31.63,2.0,-1.26,0.46,4.21,4.03,4.76,5.01,-3.79,1.0,-0.88,,,
ABCB,upper_breakout,2026-06-04,85.13,85.11,0.02,-10.0,33,1.25,2.04,-2.44,-3.25,32.15,3.0,2.14,2.89,6.7,3.59,5.47,8.58,-0.19,,,,,
ABG,upper_breakout,2025-07-10,265.97,260.64,2.04,-34.0,105,1.92,2.99,9.18,-14.91,45.32,1.0,-13.7,-12.56,-15.78,-3.19,-20.85,-0.21,-19.97,3.0,-6.64,,,
ABG,upper_breakout,2025-12-10,244.38,241.93,1.01,-25.7,107,1.19,3.74,12.11,-21.81,39.17,1.0,-0.83,-1.43,4.77,-8.54,-13.86,4.8,-6.81,6.0,-3.38,,,
ABG,upper_breakout,2025-12-24,240.89,239.09,0.75,-25.7,117,0.79,3.19,3.11,-22.93,44.01,2.0,-2.54,6.29,-0.98,-8.88,-12.61,7.41,-5.46,3.0,-1.81,,,
ABG,upper_breakout,2026-01-05,240.19,237.4,1.17,-25.7,123,0.93,2.52,2.69,-23.15,46.14,3.0,4.68,1.92,-3.46,-11.54,-12.35,7.73,-4.32,,,,,
ABG,upper_breakout,2026-02-11,232.29,230.23,0.9,-25.7,149,0.88,4.02,-5.39,-25.68,48.9,4.0,-3.91,-6.01,-15.33,-12.18,-9.37,3.06,-15.98,2.0,-1.23,,,
