ticker,side,event_date,entry,gap_vs_line_pct,slope_yr_pct,days_since_anchor,vol_ratio20,atr_pct,runup_20d,dist_from_ath_pct,dist_hi_52w_pct,dist_lo_52w_pct,rsi14,dollar_vol_m,attempt_no,touch_no,ret_s10_none,days_s10_none,ret_s10_tp20,days_s10_tp20,ret_s10_tp40,days_s10_tp40,ret_s10_atr3x,days_s10_atr3x,ret_s10_atr4x,days_s10_atr4x,ret_s15_none,days_s15_none,ret_s15_tp20,days_s15_tp20,ret_s15_tp40,days_s15_tp40,ret_s15_atr3x,days_s15_atr3x,ret_s15_atr4x,days_s15_atr4x,ret_s20_none,days_s20_none,ret_s20_tp20,days_s20_tp20,ret_s20_tp40,days_s20_tp40,ret_s20_atr3x,days_s20_atr3x,ret_s20_atr4x,days_s20_atr4x
AAON,upper,2020-05-06,31.28,0.79,-76.6,43,0.81,4.74,-0.06,-21.8,-21.8,15.89,48.6,7.86,2.0,,26.28,60,20.0,14,26.28,60,14.22,13,18.96,14,26.28,60,20.0,14,26.28,60,14.22,13,18.96,14,26.28,60,20.0,14,26.28,60,14.22,13,18.96,14
AAON,upper,2021-07-09,42.11,0.22,-46.3,91,0.42,2.62,-0.94,-22.26,-22.26,19.46,49.1,8.32,2.0,,-3.58,3,-3.58,3,-3.58,3,-3.58,3,-3.58,3,6.2,60,6.2,60,6.2,60,7.86,21,10.48,22,6.2,60,6.2,60,6.2,60,7.86,21,10.48,22
AAON,upper,2021-07-29,41.41,2.02,-46.3,105,0.53,2.24,-0.77,-23.56,-23.56,15.0,51.6,5.34,3.0,,13.86,60,13.86,60,13.86,60,6.73,6,8.97,6,13.86,60,13.86,60,13.86,60,6.73,6,8.97,6,13.86,60,13.86,60,13.86,60,6.73,6,8.97,6
AAON,upper,2023-06-16,63.87,1.09,-56.6,28,1.66,2.59,4.7,-8.17,-8.17,95.62,56.3,21.88,2.0,,-16.52,42,-16.52,42,-16.52,42,7.77,19,10.36,20,-17.81,42,-17.81,42,-17.81,42,7.77,19,10.36,20,-19.11,42,-19.11,42,-19.11,42,7.77,19,10.36,20
AAON,upper,2023-08-25,60.7,0.74,-91.9,15,0.45,7.87,-11.62,-14.97,-14.97,74.93,47.6,22.87,2.0,,4.15,60,4.15,60,4.15,60,4.15,60,4.15,60,4.15,60,4.15,60,4.15,60,4.15,60,4.15,60,4.15,60,4.15,60,4.15,60,4.15,60,4.15,60
AAT,upper,2020-02-04,46.38,0.4,-22.3,39,0.8,1.44,0.35,-5.85,-5.85,8.64,49.2,12.05,2.0,,-2.44,6,-2.44,6,-2.44,6,-2.44,6,-2.44,6,-3.16,6,-3.16,6,-3.16,6,-3.16,6,-3.16,6,-4.67,14,-4.67,14,-4.67,14,-4.67,14,-4.67,14
AAT,upper,2022-04-01,38.71,0.25,-9.6,552,1.22,2.22,2.92,-21.42,-5.19,19.4,62.9,10.54,2.0,,-2.5,1,-2.5,1,-2.5,1,-2.5,1,-2.5,1,-3.65,2,-3.65,2,-3.65,2,-3.65,2,-3.65,2,-4.76,2,-4.76,2,-4.76,2,-4.76,2,-4.76,2
AAT,under,2020-03-09,37.31,0.22,10.2,508,1.1,4.25,-19.01,-24.26,-24.26,0.54,22.2,15.63,,1.0,-4.39,2,-4.39,2,-4.39,2,-4.39,2,-4.39,2,-6.47,3,-6.47,3,-6.47,3,-6.47,3,-6.47,3,-8.6,3,-8.6,3,-8.6,3,-8.6,3,-8.6,3
AAT,under,2023-08-01,22.2,1.68,2.4,847,1.26,2.45,12.8,-54.93,-27.95,38.4,64.5,8.29,,24.0,-4.01,10,-4.01,10,-4.01,10,-4.01,10,-4.01,10,-5.23,11,-5.23,11,-5.23,11,-5.23,11,-5.23,11,-6.44,13,-6.44,13,-6.44,13,-6.44,13,-6.44,13
AAT,under,2023-08-14,21.93,0.35,2.4,856,0.61,2.37,5.18,-55.48,-28.82,36.72,53.1,8.09,,25.0,-2.72,1,-2.72,1,-2.72,1,-2.72,1,-2.72,1,-3.9,2,-3.9,2,-3.9,2,-3.9,2,-3.9,2,-5.06,4,-5.06,4,-5.06,4,-5.06,4,-5.06,4
