date,equity,open_positions,cash
2020-01-02,100000.0,1,95000.0
2020-01-03,100000.0,1,95000.0
2020-01-06,100459.18,7,65000.0
2020-01-07,99655.26,15,25000.0
2020-01-08,99872.7,20,0.0
2020-01-09,100376.13,20,0.0
2020-01-10,99292.24,19,4499.74
2020-01-13,99490.46,19,3498.1
2020-01-14,99530.79,19,3498.1
2020-01-15,99115.82,19,3498.1
2020-01-16,100113.24,19,3498.1
2020-01-17,99742.32,19,3498.1
2020-01-21,99374.07,19,3498.1
2020-01-22,99116.9,19,2997.71
2020-01-23,98944.21,19,2499.3
2020-01-24,98179.46,19,2499.3
2020-01-27,96962.25,19,2499.3
2020-01-28,97747.45,19,3000.74
2020-01-29,96574.0,19,2000.7
2020-01-30,96757.48,19,1500.79
2020-01-31,94383.73,19,499.61
2020-02-03,95075.4,19,499.61
2020-02-04,96128.29,19,499.61
2020-02-05,97840.77,19,499.61
2020-02-06,96675.29,19,2.13
2020-02-07,96888.96,18,4502.22
2020-02-10,97202.39,18,4502.22
2020-02-11,97554.84,18,4502.22
2020-02-12,97767.33,18,4002.04
2020-02-13,98184.06,18,4002.04
2020-02-14,97905.48,18,4002.04
2020-02-18,97368.4,18,4002.04
2020-02-19,97149.05,18,4002.04
2020-02-20,97360.62,18,4002.04
2020-02-21,96726.56,18,4002.04
2020-02-24,94694.35,18,3002.04
2020-02-25,92249.79,18,3002.04
2020-02-26,92016.89,18,3002.04
2020-02-27,89754.27,18,2001.28
2020-02-28,87946.25,17,2501.83
2020-03-02,89893.92,17,2603.87
2020-03-03,88025.18,17,2105.2
2020-03-04,89630.12,17,2105.2
2020-03-05,86354.65,17,1764.62
2020-03-06,84623.09,17,686.84
2020-03-09,81663.96,16,1688.28
2020-03-10,82883.75,16,1688.28
2020-03-11,77737.99,16,685.01
2020-03-12,74315.37,15,183.79
2020-03-13,77459.05,14,4686.67
2020-03-16,69555.62,14,687.04
2020-03-17,73505.28,14,1188.65
2020-03-18,67769.08,13,3186.04
2020-03-19,71115.8,13,4685.81
2020-03-20,68215.49,13,4184.91
2020-03-23,66918.16,13,1684.27
2020-03-24,71805.26,13,2684.03
2020-03-25,72422.62,13,5684.26
2020-03-26,75621.93,11,18681.77
2020-03-27,74303.58,11,18180.81
2020-03-30,75698.69,12,14181.21
2020-03-31,75560.34,13,9181.21
2020-04-01,73222.84,14,3681.42
2020-04-02,74586.64,14,4681.42
2020-04-03,73056.27,14,3682.37
2020-04-06,77026.25,14,3682.37
2020-04-07,76897.59,13,11680.48
2020-04-08,78354.06,14,6680.48
2020-04-09,79948.54,13,12680.48
2020-04-13,79483.94,14,7680.48
2020-04-14,80297.46,15,2680.48
2020-04-15,78483.03,15,2680.48
2020-04-16,78908.34,15,2680.48
2020-04-17,80507.85,15,2680.48
2020-04-20,79442.13,15,2680.48
2020-04-21,78431.4,15,2680.48
2020-04-22,79116.85,15,2680.48
2020-04-23,79195.32,15,2680.48
2020-04-24,79530.12,15,2180.48
2020-04-27,80583.3,15,3181.17
2020-04-28,81176.9,15,3181.17
2020-04-29,83191.37,15,4180.93
2020-04-30,81494.51,15,4180.93
2020-05-01,79780.3,15,4180.93
2020-05-04,79473.61,15,4180.93
2020-05-05,79581.4,15,3680.88
2020-05-06,79184.06,15,3680.88
2020-05-07,80290.03,15,4679.24
2020-05-08,81381.1,15,4730.26
2020-05-11,80967.19,15,4730.26
2020-05-12,79702.44,15,4230.19
2020-05-13,78537.97,15,3375.06
2020-05-14,78321.07,15,2875.37
2020-05-15,77923.62,14,7365.42
2020-05-18,81171.7,15,2365.42
2020-05-19,79175.93,14,7540.42
2020-05-20,80984.92,15,3540.63
2020-05-21,80573.48,15,3695.79
2020-05-22,80773.52,15,3695.79
2020-05-26,82452.11,15,4035.35
2020-05-27,84280.74,15,6035.01
2020-05-28,83304.45,14,10534.88
2020-05-29,83188.24,16,409.88
2020-06-01,83832.07,16,1507.76
2020-06-02,84580.48,16,1507.76
2020-06-03,85753.22,16,2507.76
2020-06-04,86746.83,16,3533.28
2020-06-05,88684.61,16,5536.23
2020-06-08,88818.15,17,1534.29
2020-06-09,88199.94,16,5537.11
2020-06-10,87626.52,17,537.11
2020-06-11,83249.74,15,9537.56
2020-06-12,83642.5,16,4036.84
2020-06-15,84929.67,16,4036.4
2020-06-16,85694.96,16,4036.4
2020-06-17,84926.9,16,4036.4
2020-06-18,84522.24,16,3536.8
2020-06-19,84618.31,16,4536.8
2020-06-22,85263.93,16,4536.8
2020-06-23,85707.54,16,4536.8
2020-06-24,84062.25,16,4036.53
2020-06-25,84985.89,16,4036.53
2020-06-26,83691.07,16,4036.53
2020-06-29,85043.29,16,4036.53
2020-06-30,86551.22,16,4036.53
2020-07-01,86792.31,16,4036.53
2020-07-02,87136.25,16,4036.53
2020-07-06,87576.43,17,319.45
2020-07-07,87002.28,17,319.45
2020-07-08,87215.17,17,319.45
2020-07-09,85694.38,16,4975.07
2020-07-10,87151.79,16,4975.07
2020-07-13,86003.5,16,4975.07
2020-07-14,86938.03,16,4975.07
2020-07-15,88678.51,16,4703.91
2020-07-16,88518.1,16,4703.91
2020-07-17,88893.01,14,17316.77
2020-07-20,88564.33,15,12316.77
2020-07-21,89386.2,17,2316.77
2020-07-22,88569.61,17,2327.73
2020-07-23,88719.0,17,2327.73
2020-07-24,88121.42,17,2327.73
2020-07-27,88161.02,17,2327.73
2020-07-28,87299.88,17,2684.17
2020-07-29,88104.4,17,2684.17
2020-07-30,88124.68,17,2684.17
2020-07-31,87660.23,17,2183.85
2020-08-03,89223.16,17,2183.85
2020-08-04,89790.0,17,2183.85
2020-08-05,90030.53,17,1683.56
2020-08-06,89491.71,17,1683.56
2020-08-07,91335.99,17,2180.62
2020-08-10,91450.34,17,2180.62
2020-08-11,91008.73,16,8801.86
2020-08-12,90772.89,17,2798.86
2020-08-13,90416.88,17,2798.86
2020-08-14,89669.69,17,2166.16
2020-08-17,90144.44,17,2166.16
2020-08-18,89060.62,17,2166.16
2020-08-19,89062.83,17,2166.16
2020-08-20,88700.81,17,2650.79
2020-08-21,88577.12,17,3648.82
2020-08-24,89398.98,17,3648.82
2020-08-25,89097.57,17,3648.82
2020-08-26,88915.71,17,3648.82
2020-08-27,89695.75,15,15147.39
2020-08-28,89833.12,17,4647.03
2020-08-31,88180.27,17,4270.33
2020-09-01,87550.33,17,4270.33
2020-09-02,87966.87,17,3766.37
2020-09-03,86462.86,15,13036.5
2020-09-04,86221.42,17,2035.8
2020-09-08,84366.08,17,2035.8
2020-09-09,84918.27,17,2035.8
2020-09-10,84139.56,17,2035.8
2020-09-11,83432.2,17,1537.68
2020-09-14,84837.65,17,1537.68
2020-09-15,84092.99,17,1174.77
2020-09-16,84445.06,17,455.6
2020-09-17,84155.51,17,455.6
2020-09-18,83995.05,17,455.6
2020-09-21,80961.69,16,1955.94
2020-09-22,81458.52,16,1955.94
2020-09-23,79640.79,15,5548.98
2020-09-24,78821.78,16,548.98
2020-09-25,79390.59,16,48.81
2020-09-28,81166.91,16,48.81
2020-09-29,81331.66,16,48.81
2020-09-30,81325.81,16,48.81
2020-10-01,82622.72,16,48.81
2020-10-02,83479.45,16,48.81
2020-10-05,85104.93,16,48.81
2020-10-06,84771.21,15,6049.88
2020-10-07,85953.91,16,1049.88
2020-10-08,86725.38,16,1049.88
2020-10-09,87653.89,16,549.55
2020-10-12,88815.62,16,1549.28
2020-10-13,88225.23,16,2548.67
2020-10-14,87008.13,16,2548.67
2020-10-15,87378.16,16,2548.67
2020-10-16,87444.34,16,3500.08
2020-10-19,86374.63,16,3500.08
2020-10-20,86176.36,16,2999.87
2020-10-21,85666.35,16,2500.07
2020-10-22,87746.7,16,3500.07
2020-10-23,88646.59,16,4502.59
2020-10-26,86370.89,16,4502.59
2020-10-27,84912.68,15,8619.91
2020-10-28,82128.67,16,3119.91
2020-10-29,82500.06,16,2619.17
2020-10-30,81276.55,16,1619.85
2020-11-02,81610.7,16,1119.66
2020-11-03,83601.15,16,619.16
2020-11-04,82704.92,16,619.16
2020-11-05,84743.25,16,619.16
2020-11-06,83725.83,16,619.16
2020-11-09,89089.4,17,1620.83
2020-11-10,90652.63,17,1620.83
2020-11-11,90176.26,17,1933.1
2020-11-12,88645.85,17,1933.1
2020-11-13,91065.92,17,1933.1
2020-11-16,93531.32,17,2408.95
2020-11-17,93602.22,17,2408.95
2020-11-18,93078.83,16,9408.94
2020-11-19,94349.37,18,408.94
2020-11-20,94426.84,18,408.94
2020-11-23,95557.42,18,1408.66
2020-11-24,97206.81,18,2407.99
2020-11-25,96619.19,18,2407.99
2020-11-27,97119.49,18,2407.99
2020-11-30,96187.72,17,8407.99
2020-12-01,97378.29,18,4407.99
2020-12-02,97196.46,18,4407.99
2020-12-03,97102.07,18,4407.99
2020-12-04,99085.91,18,4407.99
2020-12-07,99838.79,17,10409.48
2020-12-08,100763.43,19,409.48
2020-12-09,100382.01,19,409.48
2020-12-10,100708.94,19,409.48
2020-12-11,100183.34,19,409.48
2020-12-14,100736.96,19,2409.91
2020-12-15,102834.13,19,2409.91
2020-12-16,102508.66,19,3411.13
2020-12-17,103788.0,19,3411.13
2020-12-18,102474.83,19,4412.06
2020-12-21,101333.44,19,4412.06
2020-12-22,101825.45,19,4412.06
2020-12-23,102870.75,19,3913.07
2020-12-24,102252.31,19,3913.07
2020-12-28,101911.11,19,3913.07
2020-12-29,100252.21,19,3343.68
2020-12-30,101078.38,19,3560.85
2020-12-31,102041.88,19,4559.1
2021-01-04,100265.53,19,4059.65
2021-01-05,101564.38,19,3559.65
2021-01-06,105181.21,19,3559.65
2021-01-07,106604.58,16,21180.84
2021-01-08,106482.54,15,26681.75
2021-01-11,106373.11,20,1681.75
2021-01-12,107811.08,20,1681.75
2021-01-13,106066.72,20,1681.75
2021-01-14,106656.23,20,1681.75
2021-01-15,105166.41,20,1182.44
2021-01-19,107025.75,20,3276.61
2021-01-20,107799.81,20,4689.38
2021-01-21,107124.74,20,4689.38
2021-01-22,108342.2,20,4689.38
2021-01-25,108241.47,20,4621.09
2021-01-26,107594.1,20,6620.29
2021-01-27,105975.35,20,6119.74
2021-01-28,106860.02,20,6119.74
2021-01-29,105191.89,20,6721.78
2021-02-01,107492.7,20,6221.64
2021-02-02,108740.78,20,6221.64
