ticker,side,entry_date,entry,sl,tp,confidence,exit_date,exit,reason,pnl,pnl_pct,days_held
STNG,פריצה,2020-01-07,39.08,35.17,46.9,100.0,2020-01-10,35.17,SL,-500.26,-10.01,3
VMD,תמיכה,2020-01-06,6.08,5.47,7.3,100.0,2020-01-13,5.47,SL,-501.64,-10.03,5
ZYME,פריצה,2020-01-07,46.5,41.85,55.8,100.0,2020-01-13,41.85,SL,-500.0,-10.0,4
CRNX,פריצה,2020-01-08,25.78,23.2,30.94,100.0,2020-01-22,23.2,SL,-500.39,-10.01,9
SONO,פריצה,2020-01-07,15.75,14.18,18.9,100.0,2020-01-23,14.18,SL,-498.41,-9.97,11
CMBM,פריצה,2020-01-06,8.83,7.95,10.6,100.0,2020-01-28,7.95,SL,-498.3,-9.97,15
IIPR,פריצה,2020-01-08,77.02,69.32,92.42,100.0,2020-01-28,92.42,TP,999.74,19.99,13
SLAB,פריצה,2020-01-07,117.19,105.47,140.63,100.0,2020-01-29,105.47,SL,-500.04,-10.0,15
IMXI,פריצה,2020-01-08,11.8,10.62,14.16,100.0,2020-01-29,10.62,SL,-500.0,-10.0,14
OSIS,פריצה,2020-01-06,102.42,92.18,122.9,100.0,2020-01-30,92.18,SL,-499.9,-10.0,17
KTB,פריצה,2020-01-07,42.69,38.42,51.23,100.0,2020-01-31,38.42,SL,-500.12,-10.0,17
AOSL,פריצה,2020-01-23,14.07,12.66,16.88,100.0,2020-01-31,12.66,SL,-501.07,-10.02,6
PTEN,תמיכה,2020-01-31,7.94,7.15,9.53,100.0,2020-02-06,7.15,SL,-497.48,-9.95,4
CRAI,פריצה,2020-01-22,57.71,51.94,69.25,100.0,2020-02-07,51.94,SL,-499.91,-10.0,12
TNET,פריצה,2020-01-06,56.88,51.19,68.26,100.0,2020-02-12,51.19,SL,-500.18,-10.0,26
FN,פריצה,2020-01-07,65.7,59.13,78.84,100.0,2020-02-24,59.13,SL,-500.0,-10.0,32
AEIS,פריצה,2020-01-13,71.6,64.44,85.92,100.0,2020-02-24,64.44,SL,-500.0,-10.0,28
DJCO,פריצה,2020-01-06,287.8,259.02,345.36,100.0,2020-02-27,259.02,SL,-500.0,-10.0,36
HUBG,פריצה,2020-01-06,26.26,23.63,31.51,100.0,2020-02-27,23.63,SL,-500.76,-10.02,36
SPFI,פריצה,2020-01-07,20.81,18.73,24.97,100.0,2020-02-28,18.73,SL,-499.76,-10.0,36
LMNR,תמיכה,2020-01-08,18.76,16.88,22.51,100.0,2020-02-28,16.88,SL,-501.07,-10.02,35
AMBA,פריצה,2020-01-13,63.76,57.38,76.51,100.0,2020-02-28,57.38,SL,-500.31,-10.01,32
ACRE,פריצה,2020-01-29,16.43,14.79,19.72,100.0,2020-02-28,14.79,SL,-499.09,-9.98,21
HONE,פריצה,2020-01-29,11.09,9.98,13.31,100.0,2020-02-28,9.98,SL,-500.45,-10.01,21
AMBC,פריצה,2020-01-30,21.82,19.64,26.18,100.0,2020-02-28,19.64,SL,-499.54,-9.99,20
AHH,פריצה,2020-02-06,18.65,16.79,22.38,100.0,2020-02-28,16.79,SL,-498.66,-9.97,15
AROW,פריצה,2020-02-12,31.4,28.26,37.68,100.0,2020-02-28,28.26,SL,-500.0,-10.0,11
AMPH,תמיכה,2020-02-24,17.58,15.82,21.1,100.0,2020-02-28,15.82,SL,-500.57,-10.01,4
UONE,תמיכה,2020-01-02,19.6,17.64,23.52,100.0,2020-03-02,20.0,TIME,102.04,2.04,40
BLBD,תמיכה,2020-02-24,18.85,16.97,22.62,100.0,2020-03-03,16.97,SL,-498.67,-9.97,6
SKIL,פריצה,2020-01-07,207.0,186.3,248.4,100.0,2020-03-05,213.6,TIME,159.42,3.19,40
CHMG,תמיכה,2020-02-28,35.9,32.31,43.08,100.0,2020-03-05,32.31,SL,-500.0,-10.0,4
EXLS,פריצה,2020-01-08,14.1,12.69,16.92,100.0,2020-03-06,15.29,TIME,421.99,8.44,40
AEO,תמיכה,2020-02-27,12.81,11.53,15.37,100.0,2020-03-06,11.53,SL,-499.61,-9.99,6
APAM,תמיכה,2020-02-28,28.58,25.72,34.3,100.0,2020-03-06,25.72,SL,-500.35,-10.01,5
AX,תמיכה,2020-02-28,24.91,22.42,29.89,100.0,2020-03-06,22.42,SL,-499.8,-10.0,5
ALRM,פריצה,2020-01-28,45.89,41.3,55.07,100.0,2020-03-09,41.3,SL,-500.11,-10.0,28
ACA,תמיכה,2020-02-27,42.55,38.3,51.06,100.0,2020-03-09,38.3,SL,-499.41,-9.99,7
AMAL,תמיכה,2020-02-28,16.01,14.41,19.21,100.0,2020-03-09,14.41,SL,-499.69,-9.99,6
DCO,פריצה,2020-02-28,44.65,40.19,53.58,100.0,2020-03-09,40.19,SL,-499.44,-9.99,6
EPAC,תמיכה,2020-02-28,21.37,19.23,25.64,100.0,2020-03-09,19.23,SL,-500.7,-10.01,6
ABG,פריצה,2020-03-02,93.03,83.73,111.64,100.0,2020-03-09,83.73,SL,-499.84,-10.0,5
MC,תמיכה,2020-03-03,30.78,27.7,36.94,100.0,2020-03-09,27.7,SL,-500.32,-10.01,4
BWB,תמיכה,2020-03-05,12.18,10.96,14.62,100.0,2020-03-09,10.96,SL,-500.82,-10.02,2
EQBK,תמיכה,2020-03-05,25.23,22.71,30.28,100.0,2020-03-09,22.71,SL,-499.41,-9.99,2
ATHX,תמיכה,2020-03-06,30.25,27.23,36.3,100.0,2020-03-09,36.3,TP,1000.0,20.0,1
BXC,תמיכה,2020-03-06,8.52,7.67,10.22,100.0,2020-03-09,7.67,SL,-498.83,-9.98,1
WINA,פריצה,2020-01-31,198.97,179.07,238.76,100.0,2020-03-11,179.07,SL,-500.08,-10.0,27
IDT,תמיכה,2020-03-09,6.26,5.63,7.51,100.0,2020-03-11,5.63,SL,-503.19,-10.06,2
BMI,פריצה,2020-01-28,61.45,55.31,73.74,100.0,2020-03-12,55.31,SL,-499.59,-9.99,31
ALGT,תמיכה,2020-03-06,121.76,109.58,146.11,100.0,2020-03-12,109.58,SL,-500.16,-10.0,4
AAT,תמיכה,2020-03-09,37.31,33.58,44.77,100.0,2020-03-12,33.58,SL,-499.87,-10.0,3
ARI,תמיכה,2020-03-09,14.4,12.96,17.28,100.0,2020-03-12,12.96,SL,-500.0,-10.0,3
DX,תמיכה,2020-03-09,15.58,14.02,18.7,100.0,2020-03-12,14.02,SL,-500.64,-10.01,3
GMS,תמיכה,2020-03-09,20.8,18.72,24.96,100.0,2020-03-12,18.72,SL,-500.0,-10.0,3
HTH,תמיכה,2020-03-09,20.01,18.01,24.01,100.0,2020-03-12,18.01,SL,-499.75,-10.0,3
LKFN,תמיכה,2020-03-09,35.69,32.12,42.83,100.0,2020-03-12,32.12,SL,-500.14,-10.0,3
OFG,תמיכה,2020-03-09,14.47,13.02,17.36,100.0,2020-03-12,13.02,SL,-501.04,-10.02,3
OFLX,תמיכה,2020-03-09,73.94,66.55,88.73,100.0,2020-03-12,66.55,SL,-499.73,-9.99,3
CTRE,תמיכה,2020-03-11,16.99,15.29,20.39,100.0,2020-03-12,15.29,SL,-500.29,-10.01,1
CWT,תמיכה,2020-02-28,47.96,43.16,57.55,100.0,2020-03-13,43.16,SL,-500.42,-10.01,10
COFS,תמיכה,2020-03-06,29.95,26.95,35.94,100.0,2020-03-13,26.95,SL,-500.83,-10.02,5
MCBS,תמיכה,2020-03-09,12.01,10.81,14.41,100.0,2020-03-13,10.81,SL,-499.58,-9.99,4
ASUR,תמיכה,2020-03-12,5.38,4.84,6.46,100.0,2020-03-13,6.46,TP,1003.72,20.07,1
CHGG,תמיכה,2020-03-11,36.74,33.07,44.09,100.0,2020-03-16,33.07,SL,-499.46,-9.99,3
APPN,תמיכה,2020-03-12,35.28,31.75,42.34,100.0,2020-03-16,31.75,SL,-500.28,-10.01,2
DNLI,תמיכה,2020-03-12,15.01,13.51,18.01,100.0,2020-03-16,13.51,SL,-499.67,-9.99,2
EDIT,תמיכה,2020-03-12,17.76,15.98,21.31,100.0,2020-03-16,15.98,SL,-501.13,-10.02,2
FENC,תמיכה,2020-03-12,5.6,5.04,6.72,100.0,2020-03-16,5.04,SL,-500.0,-10.0,2
AMTB,תמיכה,2020-03-13,14.72,13.25,17.66,100.0,2020-03-16,13.25,SL,-499.32,-9.99,1
AOSL,תמיכה,2020-03-13,8.02,7.22,9.62,100.0,2020-03-16,7.22,SL,-498.75,-9.98,1
BELFB,תמיכה,2020-03-13,9.78,8.8,11.74,100.0,2020-03-16,8.8,SL,-501.02,-10.02,1
APPF,תמיכה,2020-03-12,86.01,77.41,103.21,100.0,2020-03-17,103.21,TP,999.88,20.0,3
