check_date,start_date,end_date,total_filtered_tickers,seq_gt_1_count,seq_gt_1_avg_distance,seq_gt_1_tickers,seq_eq_1_count,seq_eq_1_avg_distance,seq_eq_1_tickers,seq_eq_0_count,seq_eq_0_avg_distance,seq_eq_0_tickers,breakthrough_momentum_pct,failed_breakthrough_pct
2024-10-03,2024-10-01,2024-10-02,0,0,0.0,,0,0.0,,0,0.0,,0.0,0.0
2024-10-04,2024-10-01,2024-10-03,1,1,-7.57,SBGI,0,0.0,,0,0.0,,100.0,0.0
2024-10-05,2024-10-01,2024-10-04,4,0,0.0,,0,0.0,,0,0.0,,0.0,0.0
2024-10-06,2024-10-01,2024-10-05,6,0,0.0,,0,0.0,,0,0.0,,0.0,0.0
2024-10-07,2024-10-01,2024-10-06,6,5,-5.28,"AREN,ASIX,ETON,MRBK,SBGI",0,0.0,,1,0.17,DHT,83.3,16.7
2024-10-08,2024-10-01,2024-10-07,6,3,-5.82,"ETON,MRBK,SBGI",0,0.0,,3,5.78,"AREN,ASIX,DHT",50.0,50.0
2024-10-09,2024-10-01,2024-10-08,6,3,-7.81,"ETON,MRBK,SBGI",0,0.0,,3,5.20,"AREN,ASIX,DHT",50.0,50.0
2024-10-10,2024-10-01,2024-10-09,8,3,-8.39,"ETON,MRBK,SBGI",0,0.0,,5,14.43,"ALRS,AREN,ASIX,DHT,PDYN",37.5,62.5
2024-10-11,2024-10-01,2024-10-10,10,4,-9.25,"ETON,MRBK,RSI,SBGI",0,0.0,,6,11.60,"ALRS,AREN,ASIX,DHT,GILD,PDYN",40.0,60.0
2024-10-12,2024-10-01,2024-10-11,12,0,0.0,,0,0.0,,0,0.0,,0.0,0.0
2024-10-13,2024-10-01,2024-10-12,14,0,0.0,,0,0.0,,0,0.0,,0.0,0.0
2024-10-14,2024-10-01,2024-10-13,14,7,-7.01,"ETON,MRBK,MS,PPTA,RSI,SBGI,TPIC",0,0.0,,7,10.62,"ALRS,AREN,ASIX,CIA,DHT,GILD,PDYN",50.0,50.0
2024-10-15,2024-10-01,2024-10-14,14,7,-4.12,"ETON,MRBK,MS,PPTA,RSI,SBGI,TPIC",1,-0.46,ALRS,6,13.33,"AREN,ASIX,CIA,DHT,GILD,PDYN",50.0,42.9
2024-10-16,2024-10-01,2024-10-15,19,12,-4.56,"ALRS,BANR,DAY,FRGE,LFST,MRBK,MS,PPTA,RF,RSI,SBGI,TPIC",0,0.0,,7,10.52,"AREN,ASIX,CIA,DHT,ETON,GILD,PDYN",63.2,36.8
2024-10-17,2024-10-01,2024-10-16,20,12,-4.53,"ALRS,BANR,DAY,FRGE,LFST,MRBK,MS,PPTA,RF,RSI,SBGI,TARS",1,-0.69,GILD,7,13.43,"AREN,ASIX,CIA,DHT,ETON,PDYN,TPIC",60.0,35.0
2024-10-18,2024-10-01,2024-10-17,30,18,-3.54,"ALRS,BANR,BBT,CCOI,DAY,FRGE,GBTG,HDSN,LFST,MRBK,MS,PPTA,QUBT,RF,RSI,SBGI,TRUP,UUUU",1,-9.39,CIA,11,10.78,"AREN,ASIX,DHT,ETON,GILD,GMRE,NRIX,ORA,PDYN,TARS,TPIC",60.0,36.7
2024-10-19,2024-10-01,2024-10-18,30,0,0.0,,0,0.0,,0,0.0,,0.0,0.0
2024-10-20,2024-10-01,2024-10-19,35,0,0.0,,0,0.0,,0,0.0,,0.0,0.0
2024-10-21,2024-10-01,2024-10-20,35,15,-3.94,"BANR,CCOI,DAY,FRGE,FXNC,HDSN,LFST,LTBR,MRBK,MS,PPTA,SBGI,TDS,TRUP,UUUU",2,-5.72,"ORA,QUBT",18,10.76,"ALRS,AREN,ASIX,BBT,CIA,DHT,ETON,GBTG,GIII,GILD,GMRE,MLYS,NRIX,PDYN,RF,RSI,TARS,TPIC",42.9,51.4
2024-10-22,2024-10-01,2024-10-21,35,15,-5.03,"BANR,DAY,FRGE,FXNC,HDSN,LFST,MRBK,MS,ORA,PPTA,QUBT,SBGI,TDS,TRUP,UUUU",1,-0.62,GILD,19,13.54,"ALRS,AREN,ASIX,BBT,CCOI,CIA,DHT,ETON,GBTG,GIII,GMRE,LTBR,MLYS,NRIX,PDYN,RF,RSI,TARS,TPIC",42.9,54.3
2024-10-23,2024-10-01,2024-10-22,35,13,-4.02,"BANR,DAY,FXNC,HDSN,LFST,MRBK,MS,PPTA,QUBT,SBGI,TDS,TRUP,UUUU",0,0.0,,22,15.19,"ALRS,AREN,ASIX,BBT,CCOI,CIA,DHT,ETON,FRGE,GBTG,GIII,GILD,GMRE,LTBR,MLYS,NRIX,ORA,PDYN,RF,RSI,TARS,TPIC",37.1,62.9
2024-10-24,2024-10-01,2024-10-23,36,11,-5.08,"BANR,DAY,FXNC,LFST,MRBK,MS,PPTA,QUBT,SBGI,TDS,TRUP",1,-0.45,GILD,24,15.07,"ALRS,AREN,ASIX,BBT,CCOI,CIA,DHT,ETON,FRGE,GBTG,GIII,GMRE,HDSN,LTBR,MLYS,NRIX,ORA,PDYN,RF,RSI,TARS,TPIC,UUUU,VSCO",30.6,66.7
2024-10-25,2024-10-01,2024-10-24,37,12,-4.50,"BANR,DAY,FXNC,GILD,MRBK,MS,PPTA,PWOD,QUBT,SBGI,TDS,TRUP",1,-0.49,HDSN,24,12.87,"ALRS,AREN,ASIX,BBT,CCOI,CIA,DHT,ETON,FRGE,GBTG,GIII,GMRE,LFST,LTBR,MLYS,NRIX,ORA,PDYN,RF,RSI,TARS,TPIC,UUUU,VSCO",32.4,64.9
2024-10-26,2024-10-01,2024-10-25,41,0,0.0,,0,0.0,,0,0.0,,0.0,0.0
2024-10-27,2024-10-01,2024-10-26,42,0,0.0,,0,0.0,,0,0.0,,0.0,0.0
2024-10-28,2024-10-01,2024-10-27,42,17,-5.25,"AMSF,AQST,BANR,DAY,FXNC,GILD,HAFC,HDSN,IONQ,MRBK,MS,PPTA,PWOD,QUBT,SBGI,TDS,TRUP",3,-1.08,"LFST,NRIX,ORA",22,11.08,"ALRS,AREN,ASIX,BBT,CCOI,CIA,DHT,ETON,EVGO,FRGE,GBTG,GIII,GMRE,LTBR,MLYS,PDYN,RF,RSI,TARS,TPIC,UUUU,VSCO",40.5,52.4
2024-10-29,2024-10-01,2024-10-28,42,15,-6.61,"AMSF,AQST,BANR,DAY,FXNC,HAFC,IONQ,MRBK,MS,ORA,PPTA,PWOD,SBGI,TDS,TRUP",3,1.87,"ETON,LTBR,TARS",24,11.51,"ALRS,AREN,ASIX,BBT,CCOI,CIA,DHT,EVGO,FRGE,GBTG,GIII,GILD,GMRE,HDSN,LFST,MLYS,NRIX,PDYN,QUBT,RF,RSI,TPIC,UUUU,VSCO",35.7,57.1
2024-10-30,2024-10-01,2024-10-29,44,17,-7.65,"AMSF,AQST,BANR,DAY,ETON,FXNC,HAFC,IONQ,MRBK,MS,PPTA,PWOD,SBGI,TARS,TDS,TRUP,WTBA",0,0.0,,26,13.02,"ALRS,AREN,ASIX,BBT,CCOI,CIA,DHT,EVGO,FRGE,GBTG,GIII,GILD,GMRE,HDSN,LFST,LTBR,MLYS,NRIX,ORA,PDYN,QUBT,RF,RSI,TPIC,UUUU,VSCO",38.6,59.1
2024-10-31,2024-10-01,2024-10-30,46,17,-6.41,"AMSF,AQST,BANR,DAY,ETON,FXNC,HAFC,INCY,MRBK,MS,PPTA,PWOD,SBGI,TARS,TDS,TRUP,WTBA",1,-1.85,VSCO,27,15.80,"ALRS,AREN,ASIX,BBT,CCOI,CIA,DHT,EVGO,FRGE,GBTG,GIII,GILD,GMRE,HDSN,IONQ,LFST,LTBR,LYV,MLYS,NRIX,ORA,PDYN,QUBT,RF,RSI,TPIC,UUUU",37.0,58.7
