Date,Portfolio Value
2022-01-03,10000.00
2022-01-04,9611.41
2022-01-05,8727.28
2022-01-06,8703.32
2022-01-07,8418.75
2022-01-10,8449.72
2022-01-11,8821.36
2022-01-12,8921.87
2022-01-13,8274.41
2022-01-14,8399.46
2022-01-18,7794.07
2022-01-19,7522.94
2022-01-20,7231.93
2022-01-21,6623.04
2022-01-24,6718.87
2022-01-25,6223.34
2022-01-26,6211.65
2022-01-27,6025.83
2022-01-28,6587.97
2022-01-31,7226.09
2022-02-01,7363.99
2022-02-02,7538.13
2022-02-03,6631.22
2022-02-04,6860.28
2022-02-07,6704.84
2022-02-08,6932.74
2022-02-09,7362.82
2022-02-10,6874.31
2022-02-11,6226.85
2022-02-14,6244.38
2022-02-15,6696.66
2022-02-16,6695.49
2022-02-17,6101.79
2022-02-18,5894.93
2022-02-22,5712.62
2022-02-23,5275.52
2022-02-24,5792.09
2022-02-25,6066.73
2022-02-28,6131.01
2022-03-01,5848.19
2022-03-02,6127.51
2022-03-03,5871.56
2022-03-04,5620.29
2022-03-07,4992.70
2022-03-08,4923.74
2022-03-09,5450.83
2022-03-10,5275.52
2022-03-11,4948.28
2022-03-14,4658.45
2022-03-15,5089.70
2022-03-16,5661.19
2022-03-17,5850.52
2022-03-18,6213.99
2022-03-21,6169.58
2022-03-22,6534.21
2022-03-23,6258.40
2022-03-24,6663.94
2022-03-25,6653.42
2022-03-28,6956.12
2022-03-29,7312.57
2022-03-30,7092.85
2022-03-31,6799.51
2022-04-01,6770.29
2022-04-04,7193.36
2022-04-05,6717.70
2022-04-06,6275.93
2022-04-07,6316.84
2022-04-08,6058.55
2022-04-11,5628.47
2022-04-12,5556.01
2022-04-13,5889.09
2022-04-14,5492.90
2022-04-18,5508.09
2022-04-19,5862.21
2022-04-20,5598.08
2022-04-21,5269.68
2022-04-22,4851.28
2022-04-25,5031.26
2022-04-26,4465.61
2022-04-27,4445.74
2022-04-28,4915.56
2022-04-29,4269.27
2022-05-02,4470.29
2022-05-03,4480.80
2022-05-04,4924.91
2022-05-05,4190.97
2022-05-06,4044.88
2022-05-09,3566.88
2022-05-10,3689.59
2022-05-11,3361.19
2022-05-12,3334.31
2022-05-13,3696.60
2022-05-16,3582.07
2022-05-17,3852.04
2022-05-18,3289.90
2022-05-19,3223.28
2022-05-20,3195.23
2022-05-23,3353.01
2022-05-24,3143.81
2022-05-25,3270.03
2022-05-26,3543.50
2022-05-27,3890.61
2022-05-31,3862.56
2022-06-01,3772.57
2022-06-02,4078.77
2022-06-03,3756.21
2022-06-06,3802.96
2022-06-07,3895.28
2022-06-08,3815.81
2022-06-09,3504.94
2022-06-10,3130.95
2022-06-13,2697.36
